transaction_id,date,amount,transaction_type,transaction_duration_secs,is_recurring,location,device_id,merchant_id,channel,is_anomaly,is_weekend,day_of_week,hour_of_day,is_holiday,customer_age,amount_percentile,is_new_merchant,is_new_device,time_since_last_tx_secs,rolling_mean_3mo_amount,rolling_std_3mo_amount
16,2015-05-25 14:39:31,45.56,debit,80,0,"New York, NY",device_A,merchant_223,mobile,0,0,0,14,0,25,0.5792,1,0,55899.0,46.59,19.73
17,2015-05-25 19:22:34,38.45,debit,26,0,Online,device_A,merchant_221,online,0,0,0,19,0,25,0.4412,1,0,16983.0,46.11,19.2
18,2015-05-26 01:47:13,20.76,debit,166,0,"Los Angeles, CA",device_D,merchant_065,online,0,0,1,1,0,25,0.0926,1,1,23079.0,44.7,19.57
19,2015-05-26 11:53:20,25.36,credit,40,0,"San Francisco, CA",device_A,merchant_074,online,0,0,1,11,0,25,0.1772,1,0,36367.0,43.68,19.53
20,2015-05-26 22:04:31,49.52,credit,25,0,Online,device_B,merchant_047,branch,0,0,1,22,0,25,0.6416,1,0,36671.0,43.98,19.05
21,2015-05-27 05:04:12,31.12,debit,99,0,"Los Angeles, CA",device_A,merchant_061,atm,0,0,2,5,0,25,0.2944,1,0,25181.0,43.36,18.78
22,2015-05-27 20:18:31,30.59,credit,118,0,"Los Angeles, CA",device_C,merchant_174,branch,0,0,2,20,0,25,0.2818,1,1,54859.0,42.78,18.53
23,2015-05-29 03:28:27,27.61,debit,69,0,Online,device_D,merchant_132,online,0,0,4,3,0,25,0.2208,1,0,112196.0,42.12,18.37
24,2015-05-30 09:35:53,28.08,debit,71,0,"Los Angeles, CA",device_A,merchant_159,online,0,1,5,9,0,25,0.2294,1,0,108446.0,41.54,18.2
25,2015-05-30 09:54:20,91.96,debit,151,1,"San Francisco, CA",device_C,merchant_004,branch,0,1,5,9,0,25,0.9416,1,0,1107.0,43.55,20.47
26,2015-05-30 12:42:07,23.1,credit,89,0,"Los Angeles, CA",device_A,merchant_029,online,0,1,5,12,0,25,0.1376,1,0,10067.0,42.77,20.45
27,2015-05-31 17:17:44,84.47,credit,65,0,"Los Angeles, CA",device_A,merchant_073,online,0,1,6,17,0,25,0.9248,1,0,102937.0,44.31,21.6
28,2015-05-31 20:50:12,34.28,debit,150,0,"San Francisco, CA",device_A,merchant_079,online,0,1,6,20,0,25,0.3584,1,0,12748.0,43.95,21.28
29,2015-06-02 22:35:07,29.17,credit,64,0,"San Francisco, CA",device_A,merchant_044,online,0,0,1,22,0,25,0.2538,1,0,179095.0,43.44,21.08
30,2015-06-03 03:56:06,49.0,debit,58,0,"Los Angeles, CA",device_A,merchant_233,branch,0,0,2,3,0,25,0.6336,0,0,19259.0,43.63,20.74
31,2015-06-04 22:15:54,41.53,credit,156,0,"New York, NY",device_A,merchant_003,online,0,0,3,22,0,25,0.506,1,0,152388.0,43.56,20.39
32,2015-06-05 00:15:40,36.64,credit,112,1,"Los Angeles, CA",device_A,merchant_187,atm,0,0,4,0,0,25,0.4056,1,0,7186.0,43.35,20.1
33,2015-06-05 03:16:24,45.15,debit,123,0,"New York, NY",device_B,merchant_079,online,0,0,4,3,0,25,0.5708,0,0,10844.0,43.4,19.79
34,2015-06-05 22:58:29,41.21,credit,97,0,"San Francisco, CA",device_A,merchant_121,branch,0,0,4,22,0,25,0.4992,1,0,70925.0,43.34,19.49
35,2015-06-06 06:13:26,36.31,debit,106,0,"Los Angeles, CA",device_A,merchant_181,online,0,1,5,6,0,25,0.4,1,0,26097.0,43.14,19.23
36,2015-06-06 07:26:57,64.58,debit,4,0,"Los Angeles, CA",device_A,merchant_139,atm,0,1,5,7,0,25,0.8132,1,0,4411.0,43.73,19.29
37,2015-06-06 17:27:33,19.62,debit,129,0,"Los Angeles, CA",device_A,merchant_134,branch,0,1,5,17,0,25,0.0786,1,0,36036.0,43.08,19.43
38,2015-06-07 04:10:18,25.6,debit,26,0,"Los Angeles, CA",device_A,merchant_047,online,0,1,6,4,0,25,0.182,0,0,38565.0,42.62,19.37
39,2015-06-07 22:49:08,27.27,credit,33,0,"Los Angeles, CA",device_A,merchant_007,branch,0,1,6,22,0,25,0.2136,1,0,67130.0,42.23,19.28
40,2015-06-08 09:54:50,23.83,debit,27,1,"New York, NY",device_B,merchant_115,atm,0,0,0,9,0,25,0.1484,1,0,39942.0,41.77,19.25
41,2015-06-08 20:50:00,42.22,debit,42,0,"Los Angeles, CA",device_A,merchant_110,online,0,0,0,20,0,25,0.5228,1,0,39310.0,41.78,19.01
42,2015-06-10 07:55:31,52.08,credit,71,0,Online,device_C,merchant_068,online,0,0,2,7,0,25,0.6766,1,0,126331.0,42.02,18.84
43,2015-06-10 08:26:02,15.16,credit,64,0,"New York, NY",device_A,merchant_213,mobile,0,0,2,8,0,25,0.0256,1,0,1831.0,41.4,19.06
44,2015-06-11 02:45:51,31.91,debit,25,0,Online,device_A,merchant_001,branch,0,0,3,2,0,25,0.3102,1,0,65989.0,41.18,18.89
45,2015-06-11 23:29:31,34.44,credit,72,0,Online,device_A,merchant_184,online,0,0,3,23,0,25,0.3618,1,0,74620.0,41.03,18.7
46,2015-06-13 00:05:16,35.06,debit,105,0,"Los Angeles, CA",device_D,merchant_215,online,0,1,5,0,0,25,0.3736,1,0,88545.0,40.9,18.51
47,2015-06-13 13:25:28,21.27,credit,132,0,Online,device_B,merchant_077,branch,0,1,5,13,0,25,0.1026,1,0,48012.0,40.48,18.53
48,2015-06-14 00:46:46,34.58,debit,12,0,"Los Angeles, CA",device_A,merchant_043,atm,0,1,6,0,0,25,0.3642,1,0,40878.0,40.36,18.36
49,2015-06-15 11:31:24,25.65,debit,58,0,"New York, NY",device_A,merchant_156,branch,0,0,0,11,0,25,0.183,1,0,125078.0,40.06,18.28
50,2015-06-16 10:01:36,34.22,debit,95,0,"Los Angeles, CA",device_A,merchant_157,online,0,0,1,10,0,25,0.3568,1,0,81012.0,39.94,18.12
51,2015-06-18 08:10:07,17.12,debit,139,0,"New York, NY",device_A,merchant_018,branch,0,0,3,8,0,25,0.0448,1,0,166111.0,39.5,18.22
52,2015-06-19 00:04:51,34.34,debit,101,0,Online,device_B,merchant_087,online,0,0,4,0,0,25,0.36,1,0,57284.0,39.4,18.05
53,2015-06-19 06:20:11,28.23,debit,108,0,Online,device_B,merchant_220,online,0,0,4,6,0,25,0.2336,1,0,22520.0,39.19,17.94
54,2015-06-19 07:42:25,35.47,debit,59,0,"Los Angeles, CA",device_A,merchant_073,atm,0,0,4,7,0,25,0.382,0,0,4934.0,39.12,17.78
55,2015-06-19 20:39:50,47.01,credit,117,0,"Los Angeles, CA",device_A,merchant_245,mobile,0,0,4,20,0,25,0.601,1,0,46645.0,39.26,17.65
56,2015-06-21 06:13:30,39.55,debit,164,0,"San Francisco, CA",device_C,merchant_190,online,0,1,6,6,0,25,0.461,1,0,120820.0,39.27,17.48
57,2015-06-21 17:06:09,60.14,debit,109,0,"Los Angeles, CA",device_B,merchant_107,online,0,1,6,17,0,25,0.7702,1,0,39159.0,39.63,17.55
58,2015-06-23 00:25:21,33.77,debit,22,0,"Los Angeles, CA",device_C,merchant_006,atm,0,0,1,0,0,25,0.3466,1,0,112752.0,39.53,17.41
59,2015-06-25 17:55:05,55.12,debit,65,0,Online,device_A,merchant_144,atm,0,0,3,17,0,25,0.713,1,0,235784.0,39.8,17.38
60,2015-06-25 18:39:21,70.99,credit,50,0,"New York, NY",device_B,merchant_229,branch,0,0,3,18,0,25,0.8592,1,0,2656.0,40.32,17.69
61,2015-06-26 07:13:16,46.38,credit,4,0,"Los Angeles, CA",device_A,merchant_129,branch,0,0,4,7,0,25,0.591,1,0,45235.0,40.42,17.56
62,2015-06-26 16:48:22,40.03,debit,102,0,"New York, NY",device_A,merchant_022,online,0,0,4,16,0,25,0.472,0,0,34506.0,40.41,17.42
63,2015-06-26 21:33:44,49.76,debit,43,0,Online,device_B,merchant_046,mobile,0,0,4,21,0,25,0.645,1,0,17122.0,40.56,17.32
64,2015-06-27 03:45:44,47.21,credit,105,0,"Los Angeles, CA",device_C,merchant_190,branch,0,1,5,3,0,25,0.6032,0,0,22320.0,40.66,17.2
65,2015-06-27 07:27:13,66.73,debit,174,0,Online,device_A,merchant_151,branch,0,1,5,7,0,25,0.8326,1,0,13289.0,41.06,17.37
66,2015-06-27 09:26:38,60.15,credit,4,0,"New York, NY",device_C,merchant_149,atm,0,1,5,9,0,25,0.7708,1,0,7165.0,41.35,17.39
67,2015-06-29 17:04:11,60.52,debit,141,0,"San Francisco, CA",device_B,merchant_051,branch,0,0,0,17,0,25,0.774,1,0,200253.0,41.64,17.42
68,2015-06-29 17:13:25,41.35,credit,166,0,"Los Angeles, CA",device_A,merchant_128,online,0,0,0,17,0,25,0.5022,1,0,554.0,41.63,17.29
69,2015-06-30 11:35:53,47.97,debit,173,0,"New York, NY",device_C,merchant_095,online,0,0,1,11,0,25,0.6178,1,0,66148.0,41.73,17.18
70,2015-07-01 01:16:25,47.53,debit,153,0,Online,device_B,merchant_038,branch,0,0,2,1,0,25,0.6094,0,0,49232.0,41.81,17.07
71,2015-07-02 08:33:43,22.12,credit,67,0,"Los Angeles, CA",device_B,merchant_156,online,0,0,3,8,0,25,0.1178,0,0,112638.0,41.53,17.11
72,2015-07-02 18:41:55,69.02,debit,55,0,Online,device_A,merchant_044,online,0,0,3,18,0,25,0.8472,0,0,36492.0,41.91,17.29
73,2015-07-02 19:27:57,17.56,debit,96,0,"Los Angeles, CA",device_A,merchant_091,branch,0,0,3,19,0,25,0.0502,1,0,2762.0,41.58,17.41
74,2015-07-04 04:13:10,57.75,debit,167,1,"Los Angeles, CA",device_C,merchant_167,branch,0,1,5,4,1,25,0.7424,1,0,117913.0,41.8,17.39
75,2015-07-04 16:37:51,46.22,debit,65,0,"Los Angeles, CA",device_A,merchant_170,online,0,1,5,16,1,25,0.5886,1,0,44681.0,41.86,17.28
76,2015-07-06 16:37:02,35.09,debit,75,0,"Los Angeles, CA",device_A,merchant_042,branch,0,0,0,16,0,25,0.3746,1,0,172751.0,41.77,17.18
77,2015-07-07 01:53:32,49.19,debit,130,0,Online,device_C,merchant_060,atm,0,0,1,1,0,25,0.6374,1,0,33390.0,41.86,17.09
78,2015-07-07 22:32:51,49.86,debit,120,0,"Los Angeles, CA",device_C,merchant_126,atm,0,0,1,22,0,25,0.6458,1,0,74359.0,41.97,17.0
79,2015-07-08 06:46:55,21.03,debit,86,0,Online,device_A,merchant_057,branch,0,0,2,6,0,25,0.0976,1,0,29644.0,41.7,17.05
80,2015-07-08 16:20:33,82.11,credit,62,0,"Los Angeles, CA",device_A,merchant_077,online,0,0,2,16,0,25,0.9168,0,0,34418.0,42.21,17.54
81,2015-07-10 07:34:35,41.93,debit,174,0,Online,device_B,merchant_096,online,0,0,4,7,0,25,0.5156,1,0,141242.0,42.2,17.43
82,2015-07-11 02:59:43,128.68,debit,112,0,"San Francisco, CA",device_A,merchant_007,online,0,1,5,2,0,25,0.9816,0,0,69908.0,43.26,19.78
83,2015-07-11 11:14:06,60.03,debit,159,0,"Los Angeles, CA",device_A,merchant_051,atm,0,1,5,11,0,25,0.7694,0,0,29663.0,43.46,19.74
84,2015-07-11 12:22:49,41.46,debit,163,0,Online,device_A,merchant_225,atm,0,1,5,12,0,25,0.5046,1,0,4123.0,43.44,19.63
85,2015-07-11 13:27:47,28.65,debit,126,0,Online,device_B,merchant_111,branch,0,1,5,13,0,25,0.2444,1,0,3898.0,43.26,19.57
86,2015-07-13 15:53:38,38.27,debit,173,0,Online,device_A,merchant_238,branch,0,0,0,15,0,25,0.4376,1,0,181551.0,43.2,19.47
87,2015-07-14 05:38:37,43.59,debit,77,0,"Los Angeles, CA",device_B,merchant_205,atm,0,0,1,5,0,25,0.5462,1,0,49499.0,43.21,19.35
88,2015-07-14 08:35:58,84.16,debit,122,0,Online,device_B,merchant_032,branch,0,0,1,8,0,25,0.924,1,0,10641.0,43.67,19.73
89,2015-07-14 11:24:59,74.69,debit,157,0,"Los Angeles, CA",device_A,merchant_007,online,0,0,1,11,0,25,0.8814,0,0,10141.0,44.02,19.89
90,2015-07-15 07:48:55,50.69,debit,8,0,"Los Angeles, CA",device_A,merchant_076,online,0,0,2,7,0,25,0.6572,1,0,73436.0,44.1,19.79
91,2015-07-15 14:44:21,97.96,debit,54,0,Online,device_A,merchant_168,branch,0,0,2,14,0,25,0.9546,1,0,24926.0,44.85,20.53
92,2015-07-15 20:53:39,14.76,debit,135,0,"Los Angeles, CA",device_A,merchant_143,online,0,0,2,20,0,25,0.023,1,0,22158.0,43.82,19.65
93,2015-07-16 04:31:41,50.98,debit,83,0,Online,device_A,merchant_059,online,0,0,3,4,0,25,0.6612,1,0,27482.0,44.02,19.62
94,2015-07-16 09:54:38,75.78,debit,103,0,"New York, NY",device_B,merchant_113,atm,0,0,3,9,0,25,0.8866,0,0,19377.0,44.37,19.91
95,2015-07-18 14:08:32,53.18,credit,151,0,"New York, NY",device_A,merchant_085,online,0,1,5,14,0,25,0.692,1,0,188034.0,44.42,19.92
96,2015-07-18 17:38:07,20.77,debit,100,0,"Los Angeles, CA",device_B,merchant_140,branch,0,1,5,17,0,25,0.093,1,0,12575.0,44.08,20.06
97,2015-07-19 22:09:57,81.02,debit,32,0,"San Francisco, CA",device_B,merchant_077,online,0,1,6,22,0,25,0.9118,0,0,102710.0,44.31,20.37
98,2015-07-20 06:56:15,59.19,debit,62,0,Online,device_A,merchant_232,online,0,0,0,6,0,25,0.7596,1,0,31578.0,44.66,20.35
99,2015-07-20 10:20:38,48.01,debit,173,0,"Los Angeles, CA",device_A,merchant_170,online,0,0,0,10,0,25,0.6188,0,0,12263.0,44.55,20.3
100,2015-07-21 08:32:30,42.27,debit,30,0,"Los Angeles, CA",device_C,merchant_039,atm,0,0,1,8,0,25,0.5242,1,0,79912.0,44.42,20.28
101,2015-07-21 22:03:52,109.6,debit,106,0,Online,device_C,merchant_063,online,0,0,1,22,0,25,0.9686,1,0,48682.0,45.19,21.41
102,2015-07-24 16:53:20,50.51,credit,39,0,"San Francisco, CA",device_D,merchant_130,atm,0,0,4,16,0,25,0.6544,1,0,240568.0,45.34,21.4
103,2015-07-24 18:50:58,35.84,debit,133,0,Online,device_A,merchant_029,branch,0,0,4,18,0,25,0.3884,0,0,7058.0,45.44,21.33
104,2015-07-25 05:25:27,26.96,credit,22,0,"New York, NY",device_D,merchant_061,mobile,0,1,5,5,0,25,0.2072,0,0,38069.0,45.16,21.41
105,2015-07-25 10:17:18,59.07,debit,156,0,"Los Angeles, CA",device_A,merchant_240,online,0,1,5,10,0,25,0.7584,1,0,17511.0,45.5,21.39
106,2015-07-25 17:51:28,66.23,debit,150,0,"Los Angeles, CA",device_A,merchant_029,online,0,1,5,17,0,25,0.8274,0,0,27250.0,45.73,21.5
107,2015-07-26 06:20:34,41.61,debit,128,0,"Los Angeles, CA",device_A,merchant_228,atm,0,1,6,6,0,25,0.508,1,0,44946.0,45.76,21.49
108,2015-07-28 08:00:56,30.6,debit,29,0,"New York, NY",device_A,merchant_038,mobile,0,0,1,8,0,25,0.2826,0,0,178822.0,45.87,21.39
109,2015-07-28 09:00:40,78.65,debit,171,0,"Los Angeles, CA",device_B,merchant_007,mobile,0,0,1,9,0,25,0.9008,0,0,3584.0,46.46,21.55
110,2015-07-28 10:59:45,25.95,debit,42,0,"Los Angeles, CA",device_A,merchant_030,online,0,0,1,10,0,25,0.1898,1,0,7145.0,46.2,21.66
111,2015-07-29 01:42:11,108.28,debit,60,0,"Los Angeles, CA",device_C,merchant_215,branch,0,0,2,1,0,25,0.9664,0,0,52946.0,47.06,22.56
112,2015-07-30 19:14:15,28.01,credit,119,0,"San Francisco, CA",device_B,merchant_115,online,0,0,3,19,0,25,0.2284,0,0,149524.0,47.03,22.58
113,2015-07-31 07:52:47,21.35,credit,77,0,"New York, NY",device_D,merchant_220,online,0,0,4,7,0,25,0.1046,0,0,45512.0,46.96,22.65
114,2015-08-01 03:56:29,22.76,debit,96,0,"Los Angeles, CA",device_A,merchant_184,online,0,1,5,3,0,25,0.1296,0,0,72222.0,46.9,22.71
115,2015-08-04 01:26:15,23.22,debit,86,0,"San Francisco, CA",device_B,merchant_215,online,0,0,1,1,0,25,0.1396,0,0,250186.0,46.14,22.33
116,2015-08-04 04:49:33,35.93,debit,112,0,"Los Angeles, CA",device_A,merchant_164,online,0,0,1,4,0,25,0.391,1,0,12198.0,46.28,22.22
117,2015-08-04 14:13:49,32.01,debit,84,0,"Los Angeles, CA",device_B,merchant_170,online,0,0,1,14,0,25,0.312,0,0,33856.0,45.7,21.89
118,2015-08-04 18:52:27,67.51,debit,6,0,"Los Angeles, CA",device_B,merchant_221,atm,0,0,1,18,0,25,0.8382,0,0,16718.0,46.07,21.98
119,2015-08-05 07:45:07,62.87,debit,73,0,"Los Angeles, CA",device_A,merchant_004,online,0,0,2,7,0,25,0.8,0,0,46360.0,46.44,21.98
120,2015-08-06 06:38:25,36.17,debit,156,1,"Los Angeles, CA",device_A,merchant_212,atm,0,0,3,6,0,25,0.3968,1,0,82398.0,46.3,22.0
121,2015-08-08 10:40:10,190.89,debit,77,0,"New York, NY",device_B,merchant_005,online,0,1,5,10,0,25,0.989,1,0,187305.0,47.96,26.76
122,2015-08-08 20:14:36,35.93,credit,31,0,Online,device_B,merchant_046,online,0,1,5,20,0,25,0.3906,0,0,34466.0,47.95,26.76
123,2015-08-09 18:29:14,38.41,debit,39,0,Online,device_A,merchant_075,online,0,1,6,18,0,25,0.4398,1,0,80078.0,47.88,26.78
124,2015-08-10 02:17:12,21.36,credit,50,0,"New York, NY",device_A,merchant_130,online,0,0,0,2,0,25,0.105,0,0,28078.0,47.65,26.91
125,2015-08-10 14:21:49,38.85,debit,78,0,"New York, NY",device_A,merchant_105,atm,0,0,0,14,0,25,0.4496,1,0,43477.0,47.68,26.9
126,2015-08-11 10:21:30,46.93,debit,126,0,"Los Angeles, CA",device_B,merchant_054,online,0,0,1,10,0,25,0.5994,1,0,71981.0,47.49,26.84
127,2015-08-12 16:08:32,22.37,debit,165,0,Online,device_A,merchant_108,atm,0,0,2,16,0,25,0.1234,1,0,107222.0,47.52,26.81
128,2015-08-15 10:47:17,31.52,debit,109,0,Online,device_B,merchant_216,online,0,1,5,10,0,25,0.3022,1,0,239925.0,47.58,26.77
129,2015-08-17 03:40:52,47.63,debit,88,1,"San Francisco, CA",device_B,merchant_059,atm,0,0,0,3,0,25,0.6116,0,0,147215.0,47.81,26.68
130,2015-08-18 15:47:25,31.11,debit,15,0,"Los Angeles, CA",device_B,merchant_033,branch,0,0,1,15,0,25,0.2942,1,0,129993.0,47.89,26.62
131,2015-08-20 16:50:35,28.02,debit,51,0,"Los Angeles, CA",device_C,merchant_022,online,0,0,3,16,0,25,0.2286,0,0,176590.0,47.73,26.69
132,2015-08-21 00:42:15,59.8,debit,23,0,"New York, NY",device_A,merchant_047,online,0,0,4,0,0,25,0.7664,0,0,28300.0,47.82,26.72
133,2015-08-22 08:10:41,21.31,debit,153,0,"New York, NY",device_A,merchant_134,online,0,1,5,8,0,25,0.1034,0,0,113306.0,47.89,26.64
134,2015-08-23 21:59:46,23.48,debit,174,0,"Los Angeles, CA",device_A,merchant_024,atm,0,1,6,21,0,25,0.1432,1,0,136145.0,47.79,26.71
135,2015-08-24 10:17:31,44.2,debit,151,0,Online,device_A,merchant_221,online,0,0,0,10,0,25,0.5546,0,0,44265.0,47.9,26.68
136,2015-08-25 22:09:49,61.75,debit,10,0,"Los Angeles, CA",device_A,merchant_177,atm,0,0,1,22,0,25,0.7872,1,0,129138.0,48.2,26.68
137,2015-08-26 13:59:09,47.12,debit,73,0,"San Francisco, CA",device_C,merchant_224,atm,0,0,2,13,0,25,0.6022,1,0,56960.0,48.49,26.53
138,2015-08-28 07:15:36,36.16,debit,113,0,"Los Angeles, CA",device_C,merchant_117,mobile,0,0,4,7,0,25,0.3962,1,0,148587.0,48.5,26.52
139,2015-08-29 01:21:17,34.72,credit,77,0,"Los Angeles, CA",device_A,merchant_239,atm,0,1,5,1,0,25,0.367,1,0,65141.0,48.6,26.45
140,2015-08-31 02:45:04,67.04,debit,32,0,"Los Angeles, CA",device_A,merchant_222,atm,0,0,0,2,0,25,0.8352,1,0,177827.0,48.97,26.47
141,2015-08-31 08:25:33,62.15,credit,113,0,Online,device_A,merchant_238,online,0,0,0,8,0,25,0.7922,0,0,20429.0,49.47,26.29
142,2015-08-31 09:20:44,41.47,debit,179,0,"Los Angeles, CA",device_C,merchant_126,mobile,0,0,0,9,0,25,0.505,0,0,3311.0,49.55,26.25
143,2015-09-02 07:46:35,35.21,debit,169,0,"New York, NY",device_C,merchant_051,branch,0,0,2,7,0,25,0.3768,0,0,167151.0,49.63,26.2
144,2015-09-02 09:38:25,41.17,debit,65,0,"San Francisco, CA",device_A,merchant_118,online,0,0,2,9,0,25,0.498,1,0,6710.0,49.69,26.17
145,2015-09-03 07:11:41,28.12,debit,101,0,"Los Angeles, CA",device_B,merchant_041,branch,0,0,3,7,0,25,0.2308,1,0,77596.0,49.48,26.27
146,2015-09-03 10:22:57,37.52,debit,168,0,Online,device_A,merchant_250,online,0,0,3,10,0,25,0.4234,0,0,11476.0,49.46,26.28
147,2015-09-04 13:06:44,31.67,credit,18,0,"Los Angeles, CA",device_A,merchant_067,branch,0,0,4,13,0,25,0.3054,1,0,96227.0,49.14,26.32
148,2015-09-04 15:15:59,38.46,debit,164,1,"Los Angeles, CA",device_A,merchant_089,branch,0,0,4,15,0,25,0.4414,1,0,7755.0,49.19,26.3
149,2015-09-04 18:06:06,32.24,debit,31,0,"Los Angeles, CA",device_B,merchant_092,online,0,0,4,18,0,25,0.3158,1,0,10207.0,48.94,26.35
150,2015-09-05 16:39:11,52.56,debit,54,0,"Los Angeles, CA",device_A,merchant_121,branch,0,1,5,16,0,25,0.6842,0,0,81185.0,48.73,26.25
151,2015-09-05 22:14:05,60.9,credit,63,0,Online,device_A,merchant_207,online,0,1,5,22,0,25,0.7788,1,0,20094.0,48.89,26.28
152,2015-09-06 00:18:13,33.45,debit,1,0,"Los Angeles, CA",device_A,merchant_081,online,0,1,6,0,0,25,0.3396,1,0,7448.0,48.82,26.31
153,2015-09-06 04:57:01,26.95,debit,9,0,"San Francisco, CA",device_A,merchant_130,online,0,1,6,4,0,25,0.2068,0,0,16728.0,48.57,26.41
154,2015-09-06 05:32:31,57.73,debit,120,0,"New York, NY",device_B,merchant_091,branch,0,1,6,5,0,25,0.742,0,0,2130.0,48.68,26.43
155,2015-09-06 18:31:47,44.36,credit,92,0,"New York, NY",device_A,merchant_100,online,0,1,6,18,0,25,0.559,1,0,46756.0,48.44,26.36
156,2015-09-07 06:57:33,33.67,credit,90,0,"San Francisco, CA",device_C,merchant_078,online,0,0,0,6,0,25,0.3438,1,0,44746.0,48.14,26.38
157,2015-09-07 06:59:55,80.46,debit,116,0,"San Francisco, CA",device_A,merchant_043,branch,0,0,0,6,0,25,0.9086,0,0,142.0,48.36,26.56
158,2015-09-07 20:12:05,30.49,credit,56,0,Online,device_A,merchant_123,online,0,0,0,20,0,25,0.2784,1,0,47530.0,48.24,26.62
159,2015-09-08 02:21:13,14.93,credit,175,0,Online,device_A,merchant_032,online,0,0,1,2,0,25,0.0236,0,0,22148.0,47.88,26.85
160,2015-09-08 18:53:48,28.39,debit,3,0,"Los Angeles, CA",device_A,merchant_140,online,0,0,1,18,0,25,0.2376,0,0,59555.0,47.66,26.93
161,2015-09-08 23:10:57,90.85,debit,130,1,"New York, NY",device_A,merchant_023,online,0,0,1,23,0,25,0.9394,0,0,15429.0,48.43,27.17
162,2015-09-09 00:54:59,34.51,debit,54,1,Online,device_A,merchant_144,online,0,0,2,0,0,25,0.363,0,0,6242.0,48.04,27.12
163,2015-09-09 15:06:19,31.26,credit,37,1,"San Francisco, CA",device_C,merchant_172,online,0,0,2,15,0,25,0.2974,0,0,51080.0,48.2,26.99
164,2015-09-10 04:47:05,40.99,debit,159,0,"Los Angeles, CA",device_B,merchant_002,mobile,0,0,3,4,0,25,0.4938,1,0,49246.0,48.01,26.98
165,2015-09-10 11:02:16,67.06,credit,97,0,"Los Angeles, CA",device_C,merchant_007,branch,0,0,3,11,0,25,0.8356,0,0,22511.0,48.24,27.05
166,2015-09-11 15:51:51,38.81,debit,12,0,"Los Angeles, CA",device_A,merchant_021,online,0,0,4,15,0,25,0.4486,1,0,103775.0,48.28,27.03
167,2015-09-11 16:25:48,54.36,credit,112,0,"New York, NY",device_A,merchant_186,online,0,0,4,16,0,25,0.7038,1,0,2037.0,48.34,27.04
168,2015-09-12 03:23:35,36.8,debit,154,0,"Los Angeles, CA",device_A,merchant_095,online,0,1,5,3,0,25,0.4086,0,0,39467.0,48.19,27.07
169,2015-09-12 23:41:09,54.58,debit,78,0,Online,device_B,merchant_151,atm,0,1,5,23,0,25,0.7062,0,0,73054.0,48.57,26.92
170,2015-09-13 07:55:20,44.26,credit,140,0,Online,device_D,merchant_126,online,0,1,6,7,0,25,0.5564,0,0,29651.0,48.15,26.68
