transaction_id,date,amount,transaction_type,transaction_duration_secs,is_recurring,location,device_id,merchant_id,channel,day_of_week,hour_of_day,is_weekend,is_holiday,customer_age,amount_percentile,time_since_last_tx_secs,rolling_mean_3mo_amount,rolling_std_3mo_amount,is_anomaly
txnD000018,2017-01-12 06:21:25,34.6,debit,176,True,"Cleveland, OH",deviceC_6,merchantC_92,atm,3,6,False,False,24,72.64735264735265,4640.0,130.2,412.95,False
txnD000019,2017-01-12 17:11:28,47.97,debit,12,False,"Pittsburgh, PA",deviceC_28,merchantC_53,mobile,3,17,False,False,24,82.95704295704296,39003.0,125.87,401.76,False
txnD000020,2017-01-14 09:19:29,10.88,debit,133,False,"Pittsburgh, PA",deviceC_27,merchantC_10,atm,5,9,True,True,24,21.52847152847153,144481.0,120.12,391.89,False
txnD000021,2017-01-14 15:48:20,16.83,debit,286,False,"Pittsburgh, PA",deviceC_18,merchantC_101,mobile,5,15,True,True,24,39.650349650349646,23331.0,115.2,382.63,False
txnD000022,2017-01-16 06:47:45,9.81,debit,286,True,"Minneapolis, MN",deviceC_4,merchantC_50,mobile,0,6,False,False,24,17.902097902097903,140365.0,110.41,374.09,False
txnD000023,2017-01-17 09:44:39,27.97,debit,183,False,"Kansas City, MO",deviceC_10,merchantC_153,branch,1,9,False,False,24,64.2057942057942,97014.0,106.83,365.89,False
txnD000024,2017-01-17 14:11:33,16.55,debit,71,False,"Baltimore, MD",deviceC_13,merchantC_9,online,1,14,False,False,24,39.180819180819185,16014.0,103.06,358.32,False
txnD000025,2017-01-18 20:48:42,12.68,credit,222,False,"Kansas City, MO",deviceC_13,merchantC_124,online,2,20,False,False,24,27.072927072927072,110229.0,99.45,351.24,False
txnD000026,2017-01-20 13:40:12,4.88,debit,52,True,"Atlanta, GA",deviceC_20,merchantC_154,branch,4,13,False,False,24,3.896103896103896,147090.0,95.81,344.65,False
txnD000027,2017-01-21 00:30:45,22.11,debit,162,False,"Cleveland, OH",deviceC_26,merchantC_121,mobile,5,0,True,True,24,52.63736263736264,39033.0,93.08,338.25,False
txnD000028,2017-01-21 01:32:37,32.81,debit,271,True,"Pittsburgh, PA",deviceC_18,merchantC_140,online,5,1,True,True,24,70.74925074925075,3712.0,90.93,332.12,False
txnD000029,2017-01-21 03:07:51,120.15,credit,147,False,"Baltimore, MD",deviceC_14,merchantC_42,online,5,3,True,True,24,95.8041958041958,5714.0,91.94,326.18,False
txnD000030,2017-01-22 01:40:05,8.18,debit,339,False,"Minneapolis, MN",deviceC_10,merchantC_153,atm,6,1,True,True,24,12.457542457542457,81134.0,89.15,320.87,False
txnD000031,2017-01-22 06:55:27,10.19,debit,61,False,"Atlanta, GA",deviceC_17,merchantC_93,online,6,6,True,True,24,19.100899100899102,18922.0,86.6,315.8,False
txnD000032,2017-01-22 19:41:43,58.76,debit,127,False,"Cleveland, OH",deviceC_20,merchantC_58,mobile,6,19,True,True,24,87.86213786213786,45976.0,85.73,310.7,False
txnD000033,2017-01-22 21:29:49,2500.0,credit,2950,False,"Quito, Ecuador",tempdev_3,rare_merchant,atm,6,21,True,True,24,98.24175824175823,6486.0,158.89,519.76,True
txnD000034,2017-01-23 17:09:17,6.43,debit,315,False,"Miami, FL",deviceC_16,merchantC_30,atm,0,17,False,False,24,7.112887112887114,70768.0,154.4,512.49,False
txnD000035,2017-01-24 05:03:00,9.08,credit,208,False,"Cleveland, OH",deviceC_1,merchantC_36,online,1,5,False,False,24,15.224775224775225,42823.0,150.25,505.49,False
txnD000036,2017-01-24 12:10:46,7.6,debit,100,False,"Baltimore, MD",deviceC_26,merchantC_142,mobile,1,12,False,False,24,10.589410589410589,25666.0,146.29,498.79,False
txnD000037,2017-01-24 14:01:35,6.84,debit,181,False,"Minneapolis, MN",deviceC_21,merchantC_98,atm,1,14,False,False,24,8.201798201798201,6649.0,142.52,492.34,False
txnD000038,2017-01-24 17:07:58,7.65,credit,185,False,"Portland, OR",deviceC_1,merchantC_109,online,1,17,False,False,24,10.849150849150849,11183.0,138.97,486.14,False
txnD000039,2017-01-24 19:56:00,43.08,credit,272,True,"Raleigh, NC",deviceC_23,merchantC_39,mobile,1,19,False,False,24,79.87012987012987,10082.0,136.51,479.94,False
txnD000040,2017-01-25 14:36:58,18.32,debit,238,False,"Cleveland, OH",deviceC_11,merchantC_98,mobile,2,14,False,False,24,43.4965034965035,67258.0,133.56,474.12,False
txnD000041,2017-01-26 05:51:52,15.73,debit,200,False,"Raleigh, NC",deviceC_12,merchantC_14,mobile,3,5,False,False,24,36.82317682317682,54894.0,130.68,468.52,False
txnD000042,2017-01-26 12:25:23,4.56,debit,298,False,"Baltimore, MD",deviceC_5,merchantC_126,atm,3,12,False,False,24,3.076923076923077,23611.0,127.68,463.18,False
txnD000043,2017-01-27 07:37:58,5.87,debit,298,False,"Cleveland, OH",deviceC_22,merchantC_74,atm,4,7,False,False,24,5.764235764235765,69155.0,124.85,458.01,False
txnD000044,2017-01-29 14:12:06,58.21,debit,52,False,"Minneapolis, MN",deviceC_9,merchantC_49,branch,6,14,True,True,24,87.65234765234766,196448.0,123.33,452.76,False
txnD000045,2017-01-29 20:04:53,4.41,credit,246,False,"Atlanta, GA",deviceC_3,merchantC_121,online,6,20,True,True,24,2.827172827172827,21167.0,120.69,447.94,False
txnD000046,2017-02-01 10:41:53,31.3,debit,251,True,"Atlanta, GA",deviceC_21,merchantC_11,branch,2,10,False,False,24,68.73126873126874,225420.0,118.75,443.13,False
txnD000047,2017-02-01 13:09:45,21.04,debit,284,False,"Baltimore, MD",deviceC_27,merchantC_32,atm,2,13,False,False,24,50.319680319680316,8872.0,116.67,438.52,False
txnD000048,2017-02-02 01:20:07,52.49,debit,224,False,"Baltimore, MD",deviceC_18,merchantC_108,branch,3,1,False,False,24,85.33466533466535,43822.0,115.33,433.93,False
txnD000049,2017-02-04 13:37:01,19.79,debit,214,False,"Atlanta, GA",deviceC_23,merchantC_134,mobile,5,13,True,True,24,46.69330669330669,217014.0,113.38,429.6,False
txnD000050,2017-02-05 14:02:34,56.52,credit,237,False,"Orlando, FL",deviceC_25,merchantC_102,mobile,6,14,True,True,24,87.03296703296704,87933.0,112.24,425.27,False
txnD000051,2017-02-05 21:37:57,17.08,credit,58,False,"Portland, OR",deviceC_8,merchantC_108,online,6,21,True,True,24,40.46953046953047,27323.0,110.38,421.21,False
txnD000052,2017-02-05 21:41:46,16.86,debit,78,False,"Pittsburgh, PA",deviceC_17,merchantC_12,mobile,6,21,True,True,24,39.77022977022977,229.0,108.58,417.26,False
txnD000053,2017-02-06 10:19:36,18.56,debit,229,False,"Minneapolis, MN",deviceC_33,merchantC_109,mobile,0,10,False,False,24,44.15584415584416,45470.0,106.88,413.41,False
txnD000054,2017-02-07 00:34:22,60.31,debit,171,True,"Atlanta, GA",deviceC_10,merchantC_69,atm,1,0,False,False,24,88.38161838161838,51286.0,106.02,409.54,False
txnD000055,2017-02-07 02:40:09,8.37,debit,241,False,"Cleveland, OH",deviceC_2,merchantC_90,mobile,1,2,False,False,24,12.947052947052947,7547.0,104.24,405.94,False
txnD000056,2017-02-07 09:07:23,20.46,debit,127,False,"Atlanta, GA",deviceC_23,merchantC_48,mobile,1,9,False,False,24,48.96103896103896,23234.0,102.75,402.39,False
txnD000057,2017-02-08 04:54:55,14.61,debit,115,False,"Baltimore, MD",deviceC_17,merchantC_76,branch,2,4,False,False,24,33.4965034965035,71252.0,101.2,398.96,False
txnD000058,2017-02-09 18:30:21,5.78,debit,316,False,"Atlanta, GA",deviceC_3,merchantC_78,mobile,3,18,False,False,24,5.444555444555445,135326.0,99.56,395.64,False
txnD000059,2017-02-13 22:56:51,21.59,debit,18,False,"Cleveland, OH",deviceC_18,merchantC_72,mobile,0,22,False,False,24,51.498501498501504,361590.0,98.23,392.34,False
txnD000060,2017-02-14 14:33:58,18.22,debit,311,False,"Kansas City, MO",deviceC_22,merchantC_38,atm,1,14,False,False,24,43.20679320679321,56227.0,96.9,389.14,False
txnD000061,2017-02-15 02:47:22,22.31,debit,339,False,"Kansas City, MO",deviceC_4,merchantC_82,online,2,2,False,False,24,53.1968031968032,44004.0,95.68,386.0,False
txnD000062,2017-02-15 12:38:23,19.97,debit,73,False,"Atlanta, GA",deviceC_1,merchantC_3,mobile,2,12,False,False,24,47.08291708291708,35461.0,94.46,382.95,False
txnD000063,2017-02-15 18:32:23,25.43,debit,215,False,"Cleveland, OH",deviceC_33,merchantC_124,branch,2,18,False,False,24,59.99000999000999,21240.0,93.36,379.95,False
txnD000064,2017-02-17 10:39:17,37.62,debit,225,False,"Baltimore, MD",deviceC_28,merchantC_5,atm,4,10,False,False,24,75.54445554445554,144414.0,92.49,376.98,False
txnD000065,2017-02-17 11:02:06,11.11,debit,321,False,"Miami, FL",deviceC_20,merchantC_27,mobile,4,11,False,False,24,22.257742257742258,1369.0,91.24,374.16,False
txnD000066,2017-02-18 02:24:23,44.91,debit,170,False,"Miami, FL",deviceC_12,merchantC_11,branch,5,2,True,True,24,81.0989010989011,55337.0,90.54,371.32,False
txnD000067,2017-02-18 12:44:11,11.71,debit,14,False,"Portland, OR",deviceC_24,merchantC_72,branch,5,12,True,True,24,24.065934065934066,37188.0,89.36,368.62,False
txnD000068,2017-02-18 17:48:41,84.72,debit,230,False,"Baltimore, MD",deviceC_13,merchantC_29,online,5,17,True,True,24,93.26673326673327,18270.0,89.29,365.86,False
txnD000069,2017-02-19 03:00:30,29.59,debit,175,False,"Baltimore, MD",deviceC_19,merchantC_127,branch,6,3,True,True,24,66.67332667332667,33109.0,88.43,363.23,False
txnD000070,2017-02-19 04:21:24,21.87,credit,121,False,"Atlanta, GA",deviceC_31,merchantC_27,mobile,6,4,True,True,24,51.978021978021985,4854.0,87.48,360.68,False
txnD000071,2017-02-20 04:01:30,53.63,debit,196,False,"Raleigh, NC",deviceC_6,merchantC_2,mobile,0,4,False,False,24,85.75424575424574,85206.0,87.0,358.11,False
txnD000072,2017-02-20 10:17:17,22.41,debit,296,False,"Cleveland, OH",deviceC_30,merchantC_104,online,0,10,False,False,24,53.54645354645354,22547.0,86.1,355.66,False
txnD000073,2017-02-21 23:33:50,19.13,debit,282,False,"Raleigh, NC",deviceC_4,merchantC_148,online,1,23,False,False,24,45.294705294705295,134193.0,85.18,353.27,False
txnD000074,2017-02-22 10:12:43,49.37,debit,309,False,"Kansas City, MO",deviceC_14,merchantC_129,mobile,2,10,False,False,24,83.71628371628371,38333.0,84.7,350.87,False
txnD000075,2017-02-23 07:11:07,5.9,credit,315,False,"Kansas City, MO",deviceC_18,merchantC_94,branch,3,7,False,False,24,5.904095904095904,75504.0,83.65,348.61,False
txnD000076,2017-02-24 09:45:15,23.52,credit,125,False,"Kansas City, MO",deviceC_24,merchantC_154,atm,4,9,False,False,24,56.01398601398601,95648.0,82.86,346.34,False
txnD000077,2017-02-24 12:52:23,48.55,debit,130,False,"Orlando, FL",deviceC_1,merchantC_107,online,4,12,False,False,24,83.17682317682318,11228.0,82.41,344.08,False
txnD000078,2017-02-24 17:54:14,39.82,debit,100,False,"Orlando, FL",deviceC_3,merchantC_135,branch,4,17,False,False,24,77.4825174825175,18111.0,81.87,341.87,False
txnD000079,2017-02-26 07:19:45,19.98,debit,198,False,"Cleveland, OH",deviceC_19,merchantC_149,mobile,6,7,True,True,24,47.14285714285714,134731.0,81.08,339.75,False
txnD000080,2017-02-26 15:14:46,15.32,credit,355,False,"Cleveland, OH",deviceC_13,merchantC_81,atm,6,15,True,True,24,35.83416583416583,28501.0,80.26,337.67,False
txnD000081,2017-02-26 21:58:55,23.38,debit,27,False,"Portland, OR",deviceC_28,merchantC_27,branch,6,21,True,True,24,55.744255744255746,24249.0,79.56,335.61,False
txnD000082,2017-02-27 04:17:56,56.75,debit,174,False,"Raleigh, NC",deviceC_5,merchantC_146,branch,0,4,False,False,24,87.07292707292707,22741.0,79.28,333.54,False
txnD000083,2017-02-27 06:00:26,6.95,debit,338,False,"Atlanta, GA",deviceC_2,merchantC_64,mobile,0,6,False,False,24,8.531468531468532,6150.0,78.41,331.6,False
txnD000084,2017-02-27 10:36:43,31.38,debit,174,False,"Pittsburgh, PA",deviceC_18,merchantC_15,mobile,0,10,False,False,24,68.88111888111888,16577.0,77.85,329.63,False
txnD000085,2017-02-27 14:36:12,10.29,credit,283,False,"Orlando, FL",deviceC_6,merchantC_47,online,0,14,False,False,24,19.370629370629374,14369.0,77.06,327.75,False
txnD000086,2017-02-27 19:00:49,12.57,debit,243,True,"Kansas City, MO",deviceC_6,merchantC_109,online,0,19,False,False,24,26.583416583416586,15877.0,76.31,325.89,False
txnD000087,2017-02-28 05:11:38,15.34,debit,272,False,"Cleveland, OH",deviceC_1,merchantC_154,branch,1,5,False,False,24,35.92407592407593,36649.0,75.6,324.05,False
txnD000088,2017-02-28 13:27:49,41.56,debit,77,False,"Minneapolis, MN",deviceC_6,merchantC_20,atm,1,13,False,False,24,78.63136863136863,29771.0,75.22,322.21,False
txnD000089,2017-03-01 01:42:13,39.78,debit,100,False,"Cleveland, OH",deviceC_27,merchantC_30,branch,2,1,False,False,25,77.42257742257742,44064.0,74.82,320.39,False
txnD000090,2017-03-01 07:05:19,14.75,credit,133,False,"Cleveland, OH",deviceC_17,merchantC_105,branch,2,7,False,False,25,33.96603396603396,19386.0,74.15,318.65,False
txnD000091,2017-03-01 07:14:56,13.59,debit,47,False,"Atlanta, GA",deviceC_15,merchantC_51,online,2,7,False,False,25,30.089910089910088,577.0,73.49,316.94,False
txnD000092,2017-03-01 11:08:23,10.36,credit,128,False,"Cleveland, OH",deviceC_4,merchantC_14,online,2,11,False,False,25,19.590409590409593,14007.0,72.8,315.26,False
txnD000093,2017-03-01 21:44:35,65.72,debit,125,False,"Portland, OR",deviceC_15,merchantC_4,atm,2,21,False,False,25,89.95004995004994,38172.0,72.72,313.54,False
txnD000094,2017-03-04 17:42:26,8.37,debit,213,False,"Pittsburgh, PA",deviceC_23,merchantC_44,online,5,17,True,True,25,12.947052947052947,244671.0,72.04,311.93,False
txnD000095,2017-03-04 19:09:32,12.34,debit,128,False,"Baltimore, MD",deviceC_17,merchantC_6,mobile,5,19,True,True,25,25.814185814185812,5226.0,71.41,310.32,False
txnD000096,2017-03-04 20:04:36,16.99,debit,98,False,"Orlando, FL",deviceC_13,merchantC_104,mobile,5,20,True,True,25,40.18981018981019,3304.0,70.84,308.73,False
txnD000097,2017-03-05 00:11:58,16.16,debit,162,False,"Baltimore, MD",deviceC_4,merchantC_61,online,6,0,True,True,25,38.091908091908095,14842.0,70.28,307.17,False
txnD000098,2017-03-05 03:23:42,20.77,debit,282,False,"Minneapolis, MN",deviceC_34,merchantC_53,branch,6,3,True,True,25,49.73026973026973,11504.0,69.78,305.63,False
txnD000099,2017-03-05 14:40:34,76.12,credit,257,False,"Atlanta, GA",deviceC_5,merchantC_21,atm,6,14,True,True,25,92.18781218781218,40612.0,69.84,304.06,False
txnD000100,2017-03-06 06:15:59,25.26,debit,296,False,"Minneapolis, MN",deviceC_14,merchantC_143,atm,0,6,False,False,25,59.67032967032967,56125.0,69.39,302.56,False
txnD000101,2017-03-09 12:58:45,9.17,debit,244,False,"Pittsburgh, PA",deviceC_10,merchantC_144,mobile,3,12,False,False,25,15.604395604395604,283366.0,68.8,301.1,False
txnD000102,2017-03-11 04:15:43,6.8,credit,293,False,"Cleveland, OH",deviceC_30,merchantC_97,online,5,4,True,True,25,8.101898101898101,141418.0,68.19,299.67,False
txnD000103,2017-03-11 20:37:55,73.03,debit,200,False,"Atlanta, GA",deviceC_17,merchantC_23,mobile,5,20,True,True,25,91.74825174825175,58932.0,68.24,298.2,False
txnD000104,2017-03-13 21:37:50,34.27,debit,261,False,"Baltimore, MD",deviceC_5,merchantC_115,atm,0,21,False,False,25,72.32767232767233,176395.0,67.91,296.76,False
txnD000105,2017-03-14 00:24:13,54.57,credit,134,False,"Baltimore, MD",deviceC_20,merchantC_67,online,1,0,False,False,25,86.1038961038961,9983.0,67.78,295.34,False
txnD000106,2017-03-14 07:12:08,8.58,credit,146,False,"Atlanta, GA",deviceC_4,merchantC_43,branch,1,7,False,False,25,13.546453546453547,24475.0,67.22,293.98,False
txnD000107,2017-03-14 21:43:37,17.48,debit,154,True,"Raleigh, NC",deviceC_16,merchantC_4,online,1,21,False,False,25,41.658341658341655,52289.0,66.76,292.63,False
txnD000108,2017-03-16 01:33:24,57.44,debit,311,False,"Cleveland, OH",deviceC_27,merchantC_12,online,3,1,False,False,25,87.3126873126873,100187.0,66.67,291.26,False
txnD000109,2017-03-16 15:12:06,7.44,debit,72,False,"Pittsburgh, PA",deviceC_31,merchantC_146,online,3,15,False,False,25,10.06993006993007,49122.0,66.13,289.97,False
txnD000110,2017-03-16 21:28:06,13.27,debit,64,False,"Pittsburgh, PA",deviceC_13,merchantC_27,atm,3,21,False,False,25,29.060939060939063,22560.0,65.65,288.68,False
txnD000111,2017-03-17 09:03:14,43.04,debit,125,False,"Minneapolis, MN",deviceC_11,merchantC_52,online,4,9,False,False,25,79.8001998001998,41708.0,65.45,287.37,False
txnD000112,2017-03-18 09:29:08,5.28,debit,306,False,"Baltimore, MD",deviceC_2,merchantC_118,branch,5,9,True,True,25,4.635364635364636,87954.0,64.91,286.13,False
txnD000113,2017-03-18 10:39:41,28.67,debit,302,False,"Orlando, FL",deviceC_17,merchantC_98,atm,5,10,True,True,25,65.37462537462537,4233.0,64.59,284.87,False
txnD000114,2017-03-21 19:43:18,12.23,debit,61,False,"Portland, OR",deviceC_14,merchantC_122,mobile,1,19,False,False,25,25.544455544455545,291817.0,64.13,283.65,False
txnD000115,2017-03-23 06:52:33,7.15,credit,358,False,"Baltimore, MD",deviceC_24,merchantC_109,mobile,3,6,False,False,25,9.31068931068931,126555.0,63.63,282.45,False
txnD000116,2017-03-23 09:11:01,10.23,debit,26,False,"Baltimore, MD",deviceC_20,merchantC_109,atm,3,9,False,False,25,19.16083916083916,8308.0,63.17,281.27,False
txnD000117,2017-03-23 15:50:55,117.3,debit,63,True,"Baltimore, MD",deviceC_6,merchantC_107,atm,3,15,False,False,25,95.64435564435566,23994.0,63.64,280.09,False
txnD000118,2017-03-24 17:09:19,25.98,debit,164,False,"Baltimore, MD",deviceC_30,merchantC_68,atm,4,17,False,False,25,60.94905094905096,91104.0,63.32,278.92,False
txnD000119,2017-03-24 21:43:50,104.38,debit,237,False,"Minneapolis, MN",deviceC_19,merchantC_74,online,4,21,False,False,25,95.06493506493506,16471.0,63.66,277.76,False
txnD000120,2017-03-26 13:53:46,13.92,debit,153,False,"Pittsburgh, PA",deviceC_15,merchantC_138,online,6,13,True,True,25,30.96903096903097,144596.0,63.25,276.63,False
txnD000121,2017-03-26 13:58:22,2.74,credit,83,False,"Kansas City, MO",deviceC_31,merchantC_92,atm,6,13,True,True,25,0.6593406593406593,276.0,62.75,275.53,False
txnD000122,2017-03-27 20:17:06,6.89,credit,43,False,"Miami, FL",deviceC_30,merchantC_31,online,0,20,False,False,25,8.411588411588411,109124.0,62.29,274.43,False
txnD000123,2017-03-28 03:45:27,22.98,debit,255,True,"Miami, FL",deviceC_29,merchantC_66,branch,1,3,False,False,25,54.98501498501499,26901.0,61.97,273.33,False
txnD000124,2017-03-28 16:47:36,21.35,debit,341,True,"Miami, FL",deviceC_6,merchantC_128,atm,1,16,False,False,25,50.96903096903097,46929.0,61.64,272.24,False
txnD000125,2017-03-29 20:09:14,3.31,debit,190,False,"Cleveland, OH",deviceC_12,merchantC_124,atm,2,20,False,False,25,1.158841158841159,98498.0,61.18,271.19,False
txnD000126,2017-04-01 00:00:12,23.8,debit,275,False,"Orlando, FL",deviceC_22,merchantC_52,branch,5,0,True,True,25,56.723276723276726,186658.0,60.88,270.12,False
txnD000127,2017-04-01 00:49:22,26.47,debit,236,False,"Cleveland, OH",deviceC_21,merchantC_22,branch,5,0,True,True,25,61.98801198801199,2950.0,60.61,269.07,False
txnD000128,2017-04-02 09:47:49,33.07,debit,154,False,"Portland, OR",deviceC_20,merchantC_47,online,6,9,True,True,25,70.94905094905096,118707.0,47.28,222.42,False
txnD000129,2017-04-02 15:03:51,21.77,debit,253,False,"Minneapolis, MN",deviceC_30,merchantC_69,mobile,6,15,True,True,25,51.74825174825175,18962.0,47.08,221.55,False
txnD000130,2017-04-03 04:51:11,13.2,debit,161,False,"Kansas City, MO",deviceC_24,merchantC_30,branch,0,4,False,False,25,28.81118881118881,49640.0,46.81,220.68,False
txnD000131,2017-04-04 13:29:54,17.18,debit,37,False,"Baltimore, MD",deviceC_18,merchantC_21,online,1,13,False,False,25,40.95904095904096,117523.0,46.58,219.83,False
txnD000132,2017-04-04 20:28:14,34.32,credit,158,False,"Minneapolis, MN",deviceC_11,merchantC_18,branch,1,20,False,False,25,72.38761238761239,25100.0,46.59,219.83,False
txnD000133,2017-04-06 19:30:12,14.22,debit,219,False,"Cleveland, OH",deviceC_23,merchantC_147,mobile,3,19,False,False,25,32.04795204795205,169318.0,46.19,223.3,False
txnD000134,2017-04-07 13:55:10,26.03,debit,269,False,"Kansas City, MO",deviceC_10,merchantC_53,branch,4,13,False,False,25,61.02897102897102,66298.0,46.46,226.02,False
txnD000135,2017-04-07 19:49:47,7.93,debit,39,False,"Cleveland, OH",deviceC_28,merchantC_56,atm,4,19,False,False,25,11.708291708291709,21277.0,46.15,225.11,False
txnD000136,2017-04-09 11:37:12,9.55,credit,176,False,"Baltimore, MD",deviceC_25,merchantC_91,atm,6,11,True,True,25,16.95304695304695,143245.0,46.18,226.05,False
txnD000137,2017-04-09 12:51:01,44.63,credit,160,False,"Portland, OR",deviceC_4,merchantC_151,online,6,12,True,True,25,80.97902097902097,4429.0,46.16,225.12,False
txnD000138,2017-04-10 11:27:04,21.89,debit,224,False,"Raleigh, NC",deviceC_30,merchantC_32,branch,0,11,False,False,25,52.07792207792208,81363.0,45.97,224.2,False
txnD000139,2017-04-10 18:06:34,63.36,debit,101,False,"Miami, FL",deviceC_6,merchantC_66,branch,0,18,False,False,25,89.29070929070929,23970.0,46.11,223.3,False
txnD000140,2017-04-10 19:48:04,9.22,debit,246,False,"Pittsburgh, PA",deviceC_11,merchantC_65,mobile,0,19,False,False,25,15.774225774225775,6090.0,45.81,222.42,False
txnD000141,2017-04-13 22:45:54,29.22,credit,174,False,"Raleigh, NC",deviceC_21,merchantC_153,online,3,22,False,False,25,66.17382617382617,269870.0,46.32,225.11,False
txnD000142,2017-04-16 02:36:10,67.44,credit,315,False,"Atlanta, GA",deviceC_31,merchantC_10,mobile,6,2,True,True,25,90.38961038961038,186616.0,47.03,226.02,False
txnD000143,2017-04-16 05:32:30,8.02,debit,245,False,"Atlanta, GA",deviceC_19,merchantC_134,online,6,5,True,True,25,12.017982017982018,10580.0,46.71,225.11,False
txnD000144,2017-04-16 08:47:29,31.68,debit,29,False,"Kansas City, MO",deviceC_13,merchantC_138,branch,6,8,True,True,25,69.25074925074925,11699.0,46.89,225.09,False
txnD000145,2017-04-16 12:04:23,16.7,debit,57,False,"Raleigh, NC",deviceC_32,merchantC_117,online,6,12,True,True,25,39.45054945054945,11814.0,46.65,224.18,False
txnD000146,2017-04-17 08:39:12,5.81,debit,38,False,"Minneapolis, MN",deviceC_32,merchantC_49,atm,0,8,False,False,25,5.534465534465535,74089.0,46.32,223.3,False
txnD000147,2017-04-18 06:58:12,10.71,debit,249,False,"Baltimore, MD",deviceC_20,merchantC_19,online,1,6,False,False,25,20.88911088911089,80340.0,46.42,224.21,False
txnD000148,2017-04-18 18:22:38,7.97,credit,310,True,"Kansas City, MO",deviceC_29,merchantC_35,atm,1,18,False,False,25,11.868131868131867,41066.0,46.11,223.33,False
txnD000149,2017-04-20 14:33:51,14.19,debit,161,False,"Pittsburgh, PA",deviceC_9,merchantC_70,atm,3,14,False,False,25,31.91808191808192,159073.0,46.46,224.21,False
txnD000150,2017-04-21 00:52:24,15.65,credit,224,False,"Minneapolis, MN",deviceC_14,merchantC_34,atm,4,0,False,False,25,36.663336663336665,37113.0,46.4,224.21,False
txnD000151,2017-04-21 12:47:32,8.64,debit,93,False,"Baltimore, MD",deviceC_1,merchantC_21,atm,4,12,False,False,25,13.726273726273726,42908.0,45.6,225.06,False
txnD000152,2017-04-22 09:17:08,45.21,debit,219,False,"Raleigh, NC",deviceC_32,merchantC_68,branch,5,9,True,True,25,81.23876123876124,73776.0,46.2,225.94,False
