id,amount,date,merchant_city,mcc,target
91,42.31,2015-03-06 10:00:10,Knoxville,5045,0
92,33.15,2015-03-06 20:08:04,Knoxville,6300,0
93,27.21,2015-03-07 02:26:45,ONLINE,4784,0
94,55.13,2015-03-07 23:48:13,Knoxville,3144,0
95,56.24,2015-03-07 23:59:17,Knoxville,3395,0
96,17.04,2015-03-08 01:11:24,Rancho Palos Verdes,4112,0
97,54.86,2015-03-08 19:38:54,Rosebud,3393,0
98,70.79,2015-03-08 21:13:06,Chisago City,3005,0
99,27.44,2015-03-09 05:19:22,ONLINE,8041,0
100,50.59,2015-03-11 00:09:22,Rosebush,5912,0
101,38.2,2015-03-12 07:51:35,Knoxville,3393,0
102,37.86,2015-03-13 14:10:07,Knoxville,5499,0
103,87.55,2015-03-14 15:14:18,Knoxville,4900,0
104,28.58,2015-03-14 15:47:36,Bienville,3390,0
105,32.84,2015-03-15 03:28:09,Knoxville,4131,0
106,22.32,2015-03-15 13:56:58,Knoxville,3008,0
107,46.95,2015-03-16 13:29:24,ONLINE,3008,0
108,18.89,2015-03-17 04:10:48,Knoxville,5192,0
109,51.35,2015-03-18 03:43:56,Knoxville,8041,0
110,57.13,2015-03-19 03:39:03,Knoxville,3390,0
111,61.13,2015-03-19 04:58:22,Knoxville,4722,0
112,61.68,2015-03-19 08:11:41,Knoxville,3722,0
113,99.87,2015-03-20 15:48:32,Knoxville,7276,0
114,71.76,2015-03-22 10:36:45,Knoxville,5947,0
115,30.98,2015-03-24 09:21:04,Knoxville,1711,0
116,69.37,2015-03-24 19:01:16,Knoxville,5732,0
117,63.44,2015-03-25 08:40:58,Lake Bluff,5719,0
118,49.07,2015-03-25 23:11:16,Knoxville,3780,0
119,25.7,2015-03-26 06:32:47,Knoxville,3387,0
120,29.49,2015-03-26 21:02:10,Knoxville,7276,0
121,112.51,2015-03-29 11:34:40,Knoxville,3132,0
122,36.4,2015-03-30 09:18:51,ONLINE,8021,0
123,78.18,2015-03-31 09:29:23,Knoxville,4131,0
124,25.52,2015-03-31 23:23:08,Knoxville,7276,0
125,373.84,2015-04-01 01:50:11,Springvale,7531,0
126,37.88,2015-04-01 15:23:12,ONLINE,3393,0
127,48.66,2015-04-01 16:55:36,Knoxville,5094,0
128,34.08,2015-04-02 22:22:55,Knoxville,3775,0
129,54.27,2015-04-04 00:42:55,ONLINE,5300,0
130,16.36,2015-04-04 18:51:08,Knoxville,5655,0
131,41.24,2015-04-05 11:45:37,Knoxville,5816,0
132,12741.86,2015-04-05 16:47:52,Baytown,5932,1
133,53.2,2015-04-06 13:30:36,Knoxville,7538,0
134,79.81,2015-04-07 17:57:35,Knoxville,5411,0
135,52.27,2015-04-07 19:28:48,Knoxville,3395,0
136,170.29,2015-04-07 23:55:41,Knoxville,8043,0
137,38.48,2015-04-08 03:51:17,Knoxville,5813,0
138,26.45,2015-04-09 12:50:55,Knoxville,5815,0
139,40.85,2015-04-09 23:39:20,Knoxville,5733,0
140,65.45,2015-04-11 06:13:52,Knoxville,5211,0
141,23.33,2015-04-12 04:38:14,Knoxville,5533,0
142,48.24,2015-04-12 06:38:53,Knoxville,8931,0
143,37.42,2015-04-12 08:55:19,ONLINE,3771,0
144,132.88,2015-04-12 19:13:24,Knoxville,5651,0
145,20.34,2015-04-13 11:39:35,Manor,4899,0
146,29.23,2015-04-14 03:43:28,Knoxville,8049,0
147,40.03,2015-04-14 06:12:46,Sandersville,4214,0
148,61.86,2015-04-14 12:04:54,Knoxville,3009,0
149,56.0,2015-04-15 11:34:04,Knoxville,3132,0
150,66.3,2015-04-16 04:12:28,Knoxville,5813,0
151,23.84,2015-04-17 02:03:51,Knoxville,5261,0
152,56.24,2015-04-17 14:07:16,Knoxville,7801,0
153,15.5,2015-04-17 17:22:10,Knoxville,3393,0
154,14.41,2015-04-18 01:17:54,Knoxville,3260,0
155,19.98,2015-04-19 18:16:45,Knoxville,5300,0
156,21.87,2015-04-21 03:07:58,Knoxville,4121,0
157,104.93,2015-04-21 20:26:49,Vallejo,4112,0
158,54.29,2015-04-22 04:07:04,Knoxville,3389,0
159,39.1,2015-04-22 15:14:27,Knoxville,3389,0
160,35.85,2015-04-23 04:24:17,Knoxville,3596,0
161,18.54,2015-04-23 11:39:30,Zion Grove,4411,0
162,17.58,2015-04-23 13:18:19,Knoxville,5310,0
163,44.82,2015-04-23 20:38:59,Knoxville,3256,0
164,56.87,2015-04-23 21:48:58,ONLINE,5814,0
165,37.2,2015-04-23 23:19:46,Knoxville,5941,0
166,54.23,2015-04-24 00:24:22,Knoxville,4829,0
167,57.82,2015-04-25 09:19:47,Knoxville,3509,0
168,47.58,2015-04-26 17:37:47,Knoxville,3722,0
169,42.36,2015-04-27 03:58:58,Gillette,3390,0
170,33.7,2015-04-28 09:51:04,Knoxville,7802,0
171,175.6,2015-04-28 18:17:10,Knoxville,7531,0
172,67.17,2015-04-30 21:38:03,Knoxville,5812,0
173,99.29,2015-05-01 09:30:33,Knoxville,1711,0
174,46.54,2015-05-02 19:26:41,Knoxville,3722,0
175,88.12,2015-05-02 20:11:09,Knoxville,3260,0
176,38.96,2015-05-02 22:11:58,ONLINE,8021,0
177,35.15,2015-05-03 05:24:49,Knoxville,5970,0
178,76.43,2015-05-03 06:50:18,Knoxville,7996,0
179,10.79,2015-05-03 17:52:51,Knoxville,3771,0
180,56.52,2015-05-03 18:22:25,ONLINE,5815,0
181,24.79,2015-05-08 19:43:29,Knoxville,7393,0
182,64.79,2015-05-09 10:24:10,Knoxville,5310,0
183,24.1,2015-05-09 23:45:01,Dumfries,5812,0
184,49.39,2015-05-11 08:02:07,ONLINE,3730,0
185,59.4,2015-05-12 05:47:10,ONLINE,4112,0
186,49.48,2015-05-13 15:14:36,ONLINE,5621,0
187,61.26,2015-05-14 20:49:39,Knoxville,7349,0
188,23.53,2015-05-14 22:14:03,Knoxville,4722,0
189,22.16,2015-05-15 02:15:28,Knoxville,5499,0
190,62.65,2015-05-15 18:25:27,Berkeley Heights,4511,0
191,84.71,2015-05-16 03:14:16,Knoxville,4814,0
192,44.16,2015-05-16 13:07:23,Knoxville,5977,0
193,24.99,2015-05-17 02:43:42,Knoxville,5655,0
194,32.25,2015-05-17 17:01:55,Knoxville,7210,0
195,22.09,2015-05-20 03:47:07,Knoxville,3007,0
196,61.52,2015-05-20 06:51:40,Knoxville,3390,0
197,109.73,2015-05-21 13:59:53,Knoxville,5719,0
198,32.44,2015-05-24 08:36:54,High Falls,5941,0
199,23.59,2015-05-24 08:42:38,Knoxville,7802,0
200,135.65,2015-05-25 11:50:47,Knoxville,7531,0
201,32.98,2015-05-25 16:14:42,San Miguel,3058,0
202,144.45,2015-05-27 15:06:38,Sacramento,5733,0
203,28.55,2015-05-27 15:25:11,Knoxville,3174,0
204,38.4,2015-05-28 04:03:12,Knoxville,7393,0
205,87.32,2015-06-01 05:00:11,Knoxville,3722,0
206,70.74,2015-06-02 00:52:01,Knoxville,3389,0
207,25.54,2015-06-05 07:11:43,Knoxville,3256,0
208,41.6,2015-06-05 22:09:46,Knoxville,1711,0
209,37.95,2015-06-06 13:34:06,Knoxville,8043,0
210,28.53,2015-06-08 16:15:46,Camino,7922,0
211,89.29,2015-06-09 08:17:08,Knoxville,3058,0
212,23.19,2015-06-09 23:04:05,Knoxville,4131,0
213,78.17,2015-06-09 23:23:19,Knoxville,3393,0
214,53.81,2015-06-11 13:42:22,Knoxville,3260,0
215,45.26,2015-06-12 23:24:31,Burke,7801,0
216,109.68,2015-06-13 04:56:04,Knoxville,5045,0
217,141.88,2015-06-13 05:52:33,Knoxville,5251,0
218,18.66,2015-06-13 07:39:10,Dearborn,4214,0
219,43.08,2015-06-13 09:27:38,ONLINE,4899,0
220,32.64,2015-06-13 20:29:17,Knoxville,3132,0
221,33.59,2015-06-14 20:28:08,Knoxville,4411,0
222,80.41,2015-06-16 06:54:09,Knoxville,5912,0
223,72.34,2015-06-18 15:56:22,ONLINE,3390,0
224,49.33,2015-06-20 21:09:24,Knoxville,5977,0
225,30.08,2015-06-21 00:03:00,Knoxville,8099,0
226,27.36,2015-06-21 00:29:37,Knoxville,5732,0
227,90.87,2015-06-22 04:53:28,ONLINE,5722,0
228,75.69,2015-06-23 15:34:11,Knoxville,5499,0
229,42.6,2015-06-24 09:33:59,Knoxville,8011,0
230,97.5,2015-06-25 21:05:27,Knoxville,6300,0
231,42.7,2015-06-26 00:03:59,Knoxville,5941,0
232,49.28,2015-06-26 18:34:26,ONLINE,4900,0
233,70.24,2015-06-27 09:12:18,Knoxville,8021,0
234,56.11,2015-06-27 17:04:47,Knoxville,9402,0
235,28.26,2015-06-28 04:44:22,Knoxville,7802,0
236,107.63,2015-06-28 08:08:16,Knoxville,4112,0
237,14884.88,2015-07-02 08:17:31,Jasper,3395,1
238,49.7,2015-07-05 00:33:31,Satellite Beach,5712,0
239,20.22,2015-07-05 09:40:21,Knoxville,5970,0
240,90.17,2015-07-05 20:24:55,Knoxville,7832,0
241,17.95,2015-07-06 07:13:58,Knoxville,8111,0
242,43.25,2015-07-07 01:18:21,Arcadia,3640,0
243,32.59,2015-07-08 03:48:55,Knoxville,6300,0
244,29.05,2015-07-08 22:16:18,Knoxville,3775,0
245,26.34,2015-07-09 09:21:49,Knoxville,4784,0
246,180.25,2015-07-09 17:02:53,Knoxville,1711,0
247,48.56,2015-07-11 12:06:48,Knoxville,3359,0
248,119.2,2015-07-12 14:56:11,ONLINE,4411,0
249,41.41,2015-07-12 18:37:10,Knoxville,5651,0
250,30.35,2015-07-13 05:40:31,Knoxville,3775,0
251,39.41,2015-07-13 14:56:28,Knoxville,7801,0
252,26.48,2015-07-13 20:46:31,Knoxville,7531,0
253,24.96,2015-07-15 14:57:27,Knoxville,3730,0
254,36.73,2015-07-15 17:35:51,Knoxville,3504,0
255,44.29,2015-07-16 00:46:21,Knoxville,5970,0
256,58.44,2015-07-16 14:11:32,Knoxville,4214,0
257,29.23,2015-07-19 18:43:37,ONLINE,3722,0
258,55.49,2015-07-20 22:00:04,ONLINE,3006,0
259,50.0,2015-07-21 06:30:20,Knoxville,5947,0
260,48.03,2015-07-21 07:29:30,ONLINE,4511,0
261,23.65,2015-07-21 12:42:34,Knoxville,3780,0
262,32.66,2015-07-21 16:05:15,Knoxville,5921,0
263,56.78,2015-07-21 19:00:37,Knoxville,3066,0
264,21.01,2015-07-22 05:34:42,Knoxville,3008,0
265,32.1,2015-07-22 23:04:43,ONLINE,3389,0
266,50.05,2015-07-24 16:24:51,Knoxville,4131,0
267,44.57,2015-07-24 17:45:06,Knoxville,5932,0
268,72.04,2015-07-25 14:01:50,Knoxville,7996,0
269,31.84,2015-07-25 23:58:37,Knoxville,5311,0
270,25.57,2015-07-26 00:43:21,Knoxville,3000,0
271,33.32,2015-07-26 00:45:43,ONLINE,5655,0
272,45.92,2015-07-26 20:00:40,Knoxville,3009,0
273,20.79,2015-07-27 22:34:07,Knoxville,5970,0
274,35.87,2015-07-29 16:06:06,Great Barrington,5719,0
275,16.54,2015-07-30 01:46:28,Butte,3775,0
276,23.08,2015-07-30 03:04:10,Knoxville,5411,0
277,67.62,2015-07-30 15:40:58,Knoxville,3075,0
278,91.87,2015-08-01 07:00:47,Knoxville,5411,0
279,47.5,2015-08-01 18:00:50,Knoxville,7832,0
280,85.61,2015-08-01 21:56:03,Knoxville,7276,0
281,37.31,2015-08-01 23:51:07,Knoxville,5814,0
282,56.38,2015-08-03 00:23:35,Knoxville,3395,0
283,195.32,2015-08-03 09:05:03,Knoxville,4814,0
284,116.93,2015-08-03 19:21:34,Knoxville,7230,0
285,34.42,2015-08-03 20:27:09,Knoxville,3132,0
286,114.6,2015-08-03 22:51:34,Knoxville,3009,0
287,39.33,2015-08-04 05:52:26,Knoxville,8111,0
288,23.63,2015-08-05 01:07:11,Knoxville,7832,0
289,17.34,2015-08-05 09:50:51,Knoxville,7802,0
290,36.7,2015-08-05 20:11:41,Knoxville,8099,0
291,40.12,2015-08-05 23:58:49,Knoxville,8111,0
292,28.61,2015-08-06 06:52:40,Knoxville,8931,0
293,59.69,2015-08-06 23:05:54,Knoxville,5651,0
294,82.07,2015-08-07 18:35:30,Knoxville,3504,0
295,53.98,2015-08-08 01:40:03,Knoxville,3640,0
296,75.51,2015-08-08 12:42:16,Fleming Island,4112,0
297,33.83,2015-08-10 18:20:29,Knoxville,3390,0
298,41.63,2015-08-11 07:04:09,ONLINE,3387,0
299,37.94,2015-08-13 07:53:27,Knoxville,5947,0
300,33.75,2015-08-14 12:23:16,Knoxville,7538,0
301,50.17,2015-08-15 06:53:00,Buda,5733,0
302,49.47,2015-08-16 03:32:17,Lavon,5211,0
303,31.32,2015-08-18 13:00:10,Knoxville,4784,0
304,35.36,2015-08-19 09:16:51,Grand Haven,8041,0
305,92.72,2015-08-20 02:53:03,Knoxville,4411,0
306,82.78,2015-08-21 04:07:45,Rincon,7393,0
307,66.67,2015-08-21 21:17:15,ONLINE,7531,0
308,32.96,2015-08-21 23:05:58,Knoxville,7230,0
309,60.36,2015-08-21 23:46:14,Knoxville,4899,0
310,61.48,2015-08-23 11:57:11,Knoxville,3009,0
311,37.81,2015-08-24 02:06:56,Knoxville,7349,0
312,19861.47,2015-08-24 13:49:51,Boonville,5970,1
313,14.79,2015-08-25 09:24:08,Knoxville,5533,0
314,111.61,2015-08-27 02:45:21,Knoxville,5813,0
315,20.75,2015-08-27 17:04:31,Knoxville,3504,0
316,44.58,2015-08-29 13:37:14,Knoxville,5045,0
317,30.07,2015-08-29 17:02:50,Knoxville,7549,0
318,15.25,2015-08-29 23:12:44,Knoxville,5732,0
319,20.94,2015-08-30 08:36:21,Knoxville,7538,0
320,45.75,2015-08-31 15:27:57,Knoxville,3058,0
321,44.82,2015-09-01 18:12:48,Des Moines,3066,0
322,33.39,2015-09-01 21:01:03,Knoxville,3509,0
323,45.88,2015-09-02 01:16:26,Knoxville,5411,0
324,37.36,2015-09-02 19:29:50,Knoxville,4814,0
325,49.08,2015-09-03 12:30:42,ONLINE,5211,0
326,31.58,2015-09-04 21:08:41,Knoxville,3389,0
327,39.73,2015-09-05 17:57:13,Key Largo,8111,0
328,85.77,2015-09-05 20:01:57,ONLINE,5311,0
329,43.69,2015-09-05 21:53:57,Ada,5722,0
330,30.51,2015-09-06 05:36:59,ONLINE,3596,0
331,71.7,2015-09-07 15:21:31,Knoxville,5541,0
332,15.53,2015-09-08 04:29:08,Knoxville,5942,0
333,83.66,2015-09-08 10:54:08,Knoxville,5310,0
334,51.22,2015-09-08 23:41:48,West Berlin,8111,0
335,39.2,2015-09-09 13:54:52,Durham,3509,0
336,38.74,2015-09-11 16:42:22,Knoxville,3780,0
337,41.39,2015-09-12 21:55:21,Knoxville,3007,0
338,79.95,2015-09-12 23:31:03,Knoxville,3007,0
339,16.11,2015-09-13 12:11:49,Knoxville,3174,0
340,21.16,2015-09-13 16:49:58,Knoxville,5912,0
341,108.5,2015-09-14 01:15:05,Knoxville,5311,0
342,46.94,2015-09-15 00:37:52,Knoxville,3684,0
343,43.66,2015-09-15 09:02:19,Arcata,5932,0
344,45.11,2015-09-15 17:45:07,Knoxville,8041,0
345,17.84,2015-09-15 22:29:28,Knoxville,5192,0
346,120.29,2015-09-16 02:15:53,Knoxville,4214,0
347,52.66,2015-09-16 09:06:53,Knoxville,5193,0
348,124.23,2015-09-17 01:50:04,North Palm Beach,3359,0
349,23.27,2015-09-17 02:02:21,Knoxville,5541,0
350,49.68,2015-09-17 19:43:22,Knoxville,3393,0
351,31.49,2015-09-17 20:51:07,Knoxville,1711,0
352,80.63,2015-09-18 03:12:07,Shelby,3771,0
353,41.38,2015-09-19 03:25:39,Knoxville,5947,0
354,24.82,2015-09-21 16:21:23,Knoxville,5942,0
355,24.2,2015-09-22 15:03:26,Knoxville,3640,0
356,29.97,2015-09-25 13:08:39,Knoxville,4112,0
357,18.29,2015-09-25 15:25:20,Knoxville,4112,0
358,47.84,2015-09-25 21:14:38,Knoxville,3009,0
359,60.84,2015-09-26 18:27:55,Knoxville,3009,0
360,30.43,2015-09-28 06:09:03,Knoxville,5814,0
361,29.2,2015-09-28 12:16:33,Knoxville,5310,0
362,48.27,2015-09-29 01:23:53,Knoxville,3260,0
363,91.66,2015-09-29 09:16:54,Knoxville,5722,0
364,98.84,2015-09-30 11:56:27,Knoxville,3389,0
365,22.28,2015-09-30 14:17:44,Knoxville,7276,0
366,27.64,2015-10-01 19:55:07,Knoxville,4722,0
367,40.01,2015-10-02 01:56:23,Knoxville,3008,0
368,21.41,2015-10-02 19:00:30,Bethel Park,8062,0
369,33.31,2015-10-02 19:06:26,Knoxville,3075,0
370,72.37,2015-10-02 19:21:32,Knoxville,5261,0
371,34.86,2015-10-03 10:26:08,Knoxville,3596,0
372,11.37,2015-10-03 13:46:24,Knoxville,8021,0
373,23.61,2015-10-04 02:26:48,Knoxville,8043,0
374,33.35,2015-10-07 22:26:38,Knoxville,7801,0
375,59.89,2015-10-08 01:43:56,Knoxville,5947,0
376,135.85,2015-10-10 23:47:16,Knoxville,3007,0
377,51.47,2015-10-11 10:37:39,Knoxville,5193,0
378,59.11,2015-10-12 18:38:00,Knoxville,5411,0
379,20.41,2015-10-13 13:50:36,Knoxville,3005,0
380,10.99,2015-10-14 11:43:28,Knoxville,8062,0
381,28.05,2015-10-15 16:33:13,Knoxville,5193,0
382,9441.4,2015-10-16 10:59:36,Alta,4900,1
383,31.9,2015-10-16 15:57:15,ONLINE,7393,0
384,31.84,2015-10-16 20:07:27,Knoxville,7922,0
385,32.98,2015-10-18 11:56:36,Knoxville,5814,0
386,85.39,2015-10-18 22:54:20,Knoxville,5661,0
387,72.87,2015-10-20 23:36:50,Knoxville,5661,0
388,26.45,2015-10-24 20:46:50,Knoxville,7276,0
389,53.49,2015-10-26 23:59:51,Knoxville,1711,0
390,86.15,2015-10-27 13:10:03,Eight Mile,5621,0
391,18.48,2015-10-28 12:51:38,ONLINE,5661,0
392,98.14,2015-10-29 16:41:31,Knoxville,7995,0
393,22.32,2015-10-29 19:29:25,Knoxville,3387,0
394,49.38,2015-10-30 10:28:23,Knoxville,3075,0
395,66.44,2015-10-31 17:55:01,Knoxville,5947,0
396,31.92,2015-11-01 20:06:45,Knoxville,8111,0
397,13394.47,2015-11-02 02:57:07,Franklinton,7996,1
398,27.77,2015-11-03 06:44:38,Knoxville,5651,0
399,128.66,2015-11-03 21:29:30,Knoxville,4121,0
400,72.0,2015-11-03 21:58:54,Knoxville,4814,0
401,33.0,2015-11-04 04:40:32,Pinconning,1711,0
402,23.32,2015-11-04 16:19:47,Knoxville,7801,0
403,69.83,2015-11-05 21:46:21,ONLINE,3390,0
404,34.53,2015-11-05 22:53:38,Knoxville,7549,0
405,25.74,2015-11-06 03:27:35,Knoxville,7922,0
406,54.71,2015-11-07 09:26:55,Knoxville,3389,0
407,87.18,2015-11-07 10:27:56,Knoxville,5045,0
408,40.23,2015-11-07 17:05:19,New Bremen,7393,0
409,84.13,2015-11-08 04:17:23,Knoxville,5722,0
410,67.32,2015-11-08 08:21:31,Knoxville,5045,0
411,34.55,2015-11-08 10:25:05,Munroe Falls,3509,0
412,81.77,2015-11-09 00:12:26,Knoxville,4112,0
413,75.38,2015-11-10 18:17:09,Knoxville,4899,0
414,18.6,2015-11-10 21:56:49,Knoxville,7542,0
415,29.14,2015-11-11 03:21:33,Knoxville,7922,0
416,40.38,2015-11-11 10:21:57,Skokie,5722,0
417,36.2,2015-11-15 08:17:58,Knoxville,3771,0
418,64.78,2015-11-16 09:52:28,Knoxville,5932,0
419,25.67,2015-11-18 06:05:41,Knoxville,3066,0
420,109.94,2015-11-18 08:56:11,West Palm Beach,9402,0
421,20.58,2015-11-18 13:58:38,Knoxville,5921,0
422,13.97,2015-11-19 03:07:35,Wooster,5310,0
423,25.82,2015-11-20 02:28:39,Knoxville,3009,0
424,52.63,2015-11-22 08:08:46,Marshalltown,5947,0
425,112.0,2015-11-24 20:26:54,Knoxville,3775,0
426,31.69,2015-11-24 22:30:46,Garner,4829,0
427,50.99,2015-11-25 00:32:01,Knoxville,3005,0
428,49.16,2015-11-25 20:29:15,Knoxville,3395,0
429,56.75,2015-11-26 05:20:53,Knoxville,5941,0
430,130.55,2015-11-27 04:15:39,Knoxville,4121,0
431,75.83,2015-11-27 19:45:12,Knoxville,5411,0
432,85.66,2015-11-28 04:49:18,Knoxville,5300,0
433,26.84,2015-11-28 22:43:13,Knoxville,5932,0
434,59.85,2015-11-29 08:10:53,ONLINE,5094,0
435,42.61,2015-12-01 10:32:03,Knoxville,3684,0
436,25.99,2015-12-02 09:50:32,Knoxville,5211,0
437,28.28,2015-12-03 07:17:42,Knoxville,5211,0
438,30.34,2015-12-03 08:24:20,Knoxville,7549,0
439,68.82,2015-12-03 11:08:01,Knoxville,5812,0
440,138.31,2015-12-03 12:16:30,Knoxville,7542,0
441,33.19,2015-12-03 16:47:53,Knoxville,3395,0
442,103.76,2015-12-03 22:36:19,Knoxville,8049,0
443,17.44,2015-12-05 19:31:33,Knoxville,5661,0
444,55.32,2015-12-06 05:17:25,Knoxville,3009,0
445,37.43,2015-12-07 14:40:21,Knoxville,4511,0
446,32.7,2015-12-07 16:18:46,Knoxville,5815,0
447,22.07,2015-12-08 01:28:07,Knoxville,5300,0
448,37.29,2015-12-08 01:58:41,Knoxville,4829,0
449,59.23,2015-12-08 20:26:48,Knoxville,5655,0
450,42.68,2015-12-10 01:50:14,ONLINE,3005,0
451,38.84,2015-12-10 22:57:46,Knoxville,5045,0
452,20.55,2015-12-14 01:51:43,Knoxville,5621,0
453,33.92,2015-12-14 18:29:25,Knoxville,5651,0
454,108.32,2015-12-16 19:13:24,Knoxville,7538,0
455,30.46,2015-12-17 19:32:49,ONLINE,7995,0
456,61.24,2015-12-18 09:36:15,Knoxville,5310,0
457,50.12,2015-12-19 20:48:22,Knoxville,7802,0
458,33.43,2015-12-20 05:00:47,Knoxville,3075,0
459,69.61,2015-12-20 07:45:42,Milton,3009,0
460,50.05,2015-12-20 11:14:14,Knoxville,3390,0
461,48.03,2015-12-22 04:44:52,Knoxville,5300,0
462,34.04,2015-12-22 19:11:25,ONLINE,7393,0
463,24.16,2015-12-23 03:06:07,Harrisville,7393,0
464,43.75,2015-12-23 10:26:48,Knoxville,3640,0
465,249.26,2015-12-23 10:28:42,Knoxville,5921,0
