account_id,transaction_id,date,amount,merchant_name,transaction_type,location,login_attempts,transaction_duration,is_holiday,amount_percentile,is_anomaly,anomaly_confidence
AC00453,TX000024,2023-05-02 18:25:46,345.84,M083,Debit,Fort Worth,3,142,False,0.7777777777777778,False,0.2709323757062389
AC00241,TX000025,2023-03-02 16:43:56,145.54,M028,Debit,Raleigh,1,96,False,0.4444444444444444,False,0.3690478698453612
AC00041,TX000026,2023-10-20 17:53:13,7.49,M043,Credit,Houston,1,276,False,0.1428571428571428,False,0.4224524334006725
AC00441,TX000027,2023-04-17 16:37:01,246.93,M029,Debit,Miami,5,158,False,0.6666666666666666,True,0.624631461362402
AC00057,TX000028,2023-03-29 16:42:38,40.32,M008,Debit,Milwaukee,1,95,False,0.4,False,0.2900621104668019
AC00390,TX000029,2023-01-24 16:18:32,127.45,M092,Debit,Las Vegas,1,197,False,0.7142857142857143,False,0.2804445172129639
AC00313,TX000030,2023-09-20 16:55:42,56.17,M043,Debit,Detroit,1,283,False,0.6666666666666666,False,0.2221353406229249
AC00367,TX000031,2023-07-17 17:49:22,28.31,M091,Credit,Miami,1,20,False,0.1428571428571428,False,0.40838934324251014
AC00291,TX000032,2023-02-06 16:24:24,59.12,M053,Debit,Baltimore,1,257,False,0.2857142857142857,False,0.16692622079607755
AC00060,TX000033,2023-09-25 16:26:00,396.45,M007,Debit,New York,3,168,False,0.5,False,0.43199017808960477
AC00359,TX000034,2023-03-13 17:23:24,877.81,M094,Debit,Los Angeles,1,150,False,1.0,False,0.23421245695294943
AC00365,TX000035,2023-10-27 16:42:49,255.26,M002,Credit,San Francisco,1,50,False,0.6,False,0.6175964809067999
AC00267,TX000036,2023-10-16 16:32:56,124.76,M002,Debit,Seattle,1,45,False,0.5,False,0.2687425420859157
AC00404,TX000037,2023-11-21 16:58:44,78.13,M028,Debit,Milwaukee,1,145,False,0.5,False,0.27998466278387507
AC00202,TX000038,2023-03-02 17:53:32,649.28,M074,Debit,San Jose,1,137,False,1.0,False,0.42846084602409235
AC00478,TX000039,2023-10-12 17:07:40,795.31,M048,Debit,Mesa,2,90,False,1.0,False,0.5546792036284262
AC00405,TX000040,2023-01-24 17:17:20,335.63,M040,Debit,Oklahoma City,1,216,False,0.5,False,0.31991565759974183
AC00421,TX000041,2023-07-31 18:39:50,328.47,M014,Debit,San Antonio,1,119,False,1.0,False,0.4512284261884036
AC00480,TX000042,2023-01-09 16:13:21,34.02,M046,Debit,Philadelphia,1,19,False,0.0909090909090909,False,0.35426448910845254
AC00120,TX000043,2023-04-20 18:57:43,241.42,M044,Credit,Charlotte,1,116,False,0.6666666666666666,False,0.22511791706264087
AC00117,TX000044,2023-04-12 16:03:37,55.32,M009,Debit,Tucson,1,117,False,1.0,False,0.33191717033231743
AC00011,TX000045,2023-07-26 16:52:28,304.31,M005,Debit,Louisville,1,33,False,0.5714285714285714,False,0.2327279622863573
AC00401,TX000046,2023-10-04 17:49:29,435.27,M051,Debit,Chicago,1,90,False,0.8333333333333334,False,0.3178599712285108
AC00282,TX000047,2023-12-13 16:01:38,164.49,M070,Debit,Baltimore,1,75,False,0.5,False,0.2051195654346786
AC00439,TX000048,2023-10-09 16:29:40,510.24,M090,Debit,Oklahoma City,1,105,True,0.6666666666666666,False,0.6054882254788122
AC00296,TX000049,2023-11-27 16:45:57,626.9,M023,Debit,Denver,1,138,False,1.0,False,0.3455301433100474
AC00471,TX000050,2023-03-27 16:45:18,22.01,M055,Credit,Sacramento,1,175,False,0.1666666666666666,False,0.453561514892694
AC00159,TX000051,2023-02-13 16:59:39,425.34,M040,Credit,Kansas City,1,121,False,1.0,False,0.5377135739200783
AC00482,TX000052,2023-02-21 17:45:55,424.56,M015,Debit,Omaha,1,264,False,0.8333333333333334,False,0.3071719957672385
AC00115,TX000053,2023-06-07 16:45:34,85.43,M078,Debit,Virginia Beach,1,145,False,0.6666666666666666,False,0.14792188551966068
AC00055,TX000054,2023-09-07 16:51:27,169.5,M036,Debit,San Diego,1,142,False,0.6,False,0.2979810067122904
AC00419,TX000055,2023-03-29 17:47:16,104.63,M095,Debit,Omaha,1,90,False,0.3333333333333333,False,0.38557692295847296
AC00374,TX000056,2023-08-04 17:53:40,316.95,M052,Debit,Mesa,1,83,False,0.8333333333333334,False,0.3657376436901014
AC00271,TX000057,2023-12-14 17:52:37,60.54,M095,Credit,Columbus,1,52,False,0.6,False,0.5942082838976713
AC00456,TX000058,2023-03-03 17:37:41,292.56,M075,Credit,Dallas,1,61,False,0.6363636363636364,False,0.4292750738657668
AC00143,TX000059,2023-06-09 16:18:15,386.52,M064,Debit,Indianapolis,1,28,False,0.8,False,0.3003611303996318
AC00427,TX000060,2023-10-02 16:35:22,112.07,M064,Debit,Kansas City,1,51,False,0.4444444444444444,False,0.2932958327490829
AC00438,TX000061,2023-10-06 18:44:37,568.52,M094,Debit,Indianapolis,1,152,False,1.0,False,0.2577168657514211
AC00002,TX000062,2023-05-16 16:07:30,263.99,M087,Debit,Dallas,2,227,False,0.4285714285714285,False,0.3313525316443548
AC00425,TX000063,2023-11-07 16:48:23,349.64,M097,Debit,Las Vegas,1,226,False,0.7142857142857143,False,0.20663830501562647
AC00325,TX000064,2023-05-30 17:43:25,601.4,M001,Credit,Philadelphia,1,104,False,1.0,False,0.34412399928153853
AC00434,TX000065,2023-11-02 16:01:40,5.77,M071,Debit,Charlotte,1,124,False,0.1428571428571428,False,0.1960248206784855
AC00242,TX000066,2023-03-29 17:00:31,201.33,M003,Credit,Nashville,1,186,False,0.7777777777777778,False,0.2882069738464315
AC00319,TX000067,2023-04-25 16:11:24,298.42,M005,Debit,Indianapolis,1,225,False,0.6,False,0.2926419161925321
AC00460,TX000068,2023-04-18 18:40:47,521.06,M063,Debit,Albuquerque,1,128,False,0.75,False,0.2781630472825308
AC00461,TX000069,2023-02-09 16:34:53,117.28,M057,Credit,Austin,1,16,False,0.6666666666666666,False,0.4758479724898545
AC00395,TX000070,2023-11-13 16:42:28,189.12,M040,Credit,Indianapolis,1,103,False,0.3333333333333333,False,0.5046566326594678
AC00217,TX000071,2023-07-18 16:12:00,133.55,M091,Debit,Atlanta,1,220,False,0.8333333333333334,False,0.3119429998728762
AC00053,TX000072,2023-01-13 17:00:16,143.21,M066,Debit,Dallas,1,135,False,0.8571428571428571,False,0.21421434816538049
AC00282,TX000073,2023-07-04 18:20:33,24.77,M070,Debit,Boston,1,55,True,0.1666666666666666,False,0.5659818569072737
AC00110,TX000074,2023-10-20 16:54:28,233.92,M046,Credit,Jacksonville,1,280,False,0.625,False,0.4484909754409658
AC00265,TX000075,2023-10-04 16:36:29,1212.51,M036,Debit,Indianapolis,1,24,False,1.0,False,0.5133470591980542
AC00239,TX000076,2023-12-28 17:31:03,232.12,M066,Debit,Omaha,1,51,False,0.6,False,0.30650557337009765
AC00007,TX000077,2023-06-12 17:53:52,162.63,M060,Debit,Kansas City,1,113,False,0.6,False,0.15012347382448932
AC00022,TX000078,2023-03-13 16:32:12,91.53,M095,Debit,Milwaukee,1,69,False,0.5,False,0.3041103393465773
AC00464,TX000079,2023-12-18 18:46:27,120.29,M045,Debit,Miami,1,77,False,0.5,False,0.25425109257439604
AC00014,TX000080,2023-07-17 18:54:31,174.25,M032,Debit,Seattle,1,67,False,0.4444444444444444,False,0.13360888240268493
AC00406,TX000081,2023-06-19 18:22:10,183.71,M074,Debit,Denver,1,102,True,1.0,False,0.5403695476885902
AC00445,TX000082,2023-10-23 17:13:57,345.39,M081,Credit,Phoenix,1,80,False,0.6,False,0.44068896640076116
AC00236,TX000083,2023-01-23 16:32:48,922.55,M004,Debit,Detroit,1,87,False,1.0,False,0.39134857837446185
AC00220,TX000084,2023-11-06 16:34:10,259.91,M028,Debit,Denver,1,170,False,0.5,False,0.12885293169392084
AC00140,TX000085,2023-07-03 16:40:24,154.71,M030,Debit,San Diego,1,157,False,0.5714285714285714,False,0.20985357792274298
AC00098,TX000086,2023-09-29 17:22:10,1340.19,M012,Credit,Austin,1,30,False,1.0,False,0.5546752152602688
AC00303,TX000087,2023-10-20 17:27:35,24.56,M033,Debit,Mesa,1,69,False,0.1666666666666666,False,0.34554304651650913
AC00373,TX000088,2023-08-28 17:03:53,568.07,M054,Debit,Washington,1,115,False,1.0,False,0.3693282709044285
AC00438,TX000089,2023-06-22 18:37:29,9.61,M043,Credit,San Diego,1,179,False,0.125,False,0.3600622087817938
AC00437,TX000090,2023-11-20 16:28:09,392.96,M022,Debit,Kansas City,1,100,False,0.75,False,0.306780082537786
AC00106,TX000091,2023-09-14 16:49:33,716.93,M052,Credit,Milwaukee,1,34,False,1.0,False,0.6111544609119827
AC00310,TX000092,2023-10-02 16:36:10,223.85,M009,Debit,Kansas City,4,55,False,0.2857142857142857,True,0.7544954207274597
AC00149,TX000093,2023-03-27 18:16:04,230.66,M049,Debit,Houston,1,135,False,0.5,False,0.171338226871248
AC00373,TX000094,2023-12-21 16:37:03,442.12,M047,Debit,Los Angeles,1,260,False,0.7777777777777778,False,0.29857064069608247
AC00425,TX000095,2023-03-02 16:05:09,644.17,M093,Debit,San Antonio,1,72,False,1.0,False,0.33082325424325965
AC00010,TX000096,2023-06-26 16:16:50,508.68,M048,Credit,Mesa,1,127,False,0.7142857142857143,False,0.49121736132670696
AC00348,TX000097,2023-04-18 17:27:23,858.63,M002,Credit,San Francisco,1,185,False,1.0,True,0.7940715118527988
AC00011,TX000098,2023-07-17 17:08:24,25.36,M007,Debit,Louisville,1,78,False,0.1428571428571428,False,0.31691684342685855
AC00453,TX000099,2023-09-01 17:26:02,147.62,M028,Debit,Charlotte,1,133,False,0.3333333333333333,False,0.09527267246587824
AC00178,TX000100,2023-09-11 16:19:04,115.02,M004,Debit,San Antonio,1,175,False,0.6,False,0.29085693827775866
AC00265,TX000101,2023-01-24 17:23:56,383.37,M066,Debit,Fort Worth,1,24,False,0.6666666666666666,False,0.27495499643551174
AC00018,TX000102,2023-08-11 16:18:46,98.54,M095,Credit,El Paso,1,167,False,0.3333333333333333,False,0.5189998861500678
AC00075,TX000103,2023-10-16 18:35:11,83.24,M009,Credit,Fort Worth,1,164,False,0.6,False,0.525997561442118
AC00464,TX000104,2023-02-24 16:29:23,196.16,M099,Debit,Virginia Beach,1,146,False,0.625,False,0.17749904976031705
AC00170,TX000105,2023-01-02 16:36:02,129.94,M045,Debit,Las Vegas,1,235,True,0.7142857142857143,False,0.5678030205938628
AC00235,TX000106,2023-11-30 16:31:03,306.9,M047,Debit,Colorado Springs,1,51,False,0.8571428571428571,False,0.17603658748365883
AC00013,TX000107,2023-11-01 16:52:01,114.98,M032,Debit,Seattle,1,80,False,0.375,False,0.1606586214497652
AC00397,TX000108,2023-03-06 16:47:02,756.59,M012,Debit,Sacramento,1,17,False,1.0,False,0.3864708609411197
AC00423,TX000109,2023-11-27 18:32:49,503.76,M083,Debit,Los Angeles,1,35,False,0.8333333333333334,False,0.23677832479508062
AC00154,TX000110,2023-07-31 16:37:46,143.03,M055,Debit,San Antonio,1,147,False,0.6,False,0.19575490047043947
AC00068,TX000111,2023-11-22 16:13:39,1045.22,M077,Debit,Columbus,1,73,False,1.0,False,0.4323518523368766
AC00318,TX000112,2023-03-21 16:29:31,245.54,M089,Debit,New York,1,180,False,0.6,False,0.14176523573052258
AC00396,TX000113,2023-04-20 18:26:50,254.37,M012,Credit,Dallas,1,174,False,0.625,False,0.34850736863277376
AC00121,TX000114,2023-03-01 17:52:14,213.76,M009,Credit,Dallas,1,282,False,1.0,True,0.6448593908216324
AC00336,TX000115,2023-02-10 16:52:48,327.86,M051,Debit,Fresno,1,104,False,0.5,False,0.27865304357163134
AC00468,TX000116,2023-07-21 16:43:11,2.5,M042,Debit,San Diego,1,107,False,0.25,False,0.18995651337561348
AC00282,TX000117,2023-10-09 17:02:43,300.08,M040,Credit,Austin,1,47,True,0.8333333333333334,True,0.7193763616388891
AC00498,TX000118,2024-01-01 16:34:10,56.98,M086,Credit,Oklahoma City,2,122,True,0.375,True,0.681476788566979
AC00085,TX000119,2023-07-07 16:11:38,407.65,M041,Debit,Boston,1,62,False,0.8333333333333334,False,0.24475928741626377
AC00092,TX000120,2023-05-22 17:09:52,115.83,M086,Debit,Fresno,1,167,False,0.5,False,0.31685484807185404
AC00295,TX000121,2023-08-16 16:17:12,53.57,M025,Debit,Houston,1,121,False,0.1666666666666666,False,0.22600478249614092
AC00358,TX000122,2023-11-17 16:02:02,63.34,M028,Credit,Detroit,1,165,False,0.25,False,0.42281132584137204
AC00311,TX000123,2023-05-22 17:29:35,317.87,M076,Debit,Detroit,1,91,False,0.6666666666666666,False,0.30930580964509885
AC00066,TX000124,2023-08-25 17:26:07,331.65,M006,Debit,Portland,1,61,False,0.75,False,0.371775154396512
AC00340,TX000125,2023-11-27 16:38:34,5.04,M001,Debit,Washington,1,41,False,0.3333333333333333,False,0.24326115091558248
AC00284,TX000126,2023-08-04 17:46:44,214.54,M026,Credit,Detroit,1,247,False,0.375,False,0.23238829058189966
AC00208,TX000127,2023-09-04 16:48:35,598.81,M081,Debit,Philadelphia,1,158,True,0.75,False,0.5626000640833435
AC00176,TX000128,2023-08-09 17:34:26,841.28,M083,Debit,Tucson,1,80,False,1.0,False,0.18132503288601903
AC00053,TX000129,2023-09-07 16:07:40,38.15,M005,Debit,Mesa,1,108,False,0.4285714285714285,False,0.2722576086662051
AC00320,TX000130,2023-07-11 16:39:53,1036.66,M062,Debit,San Antonio,1,144,False,1.0,False,0.2707843779829461
AC00382,TX000131,2023-07-03 17:14:07,124.72,M004,Debit,Oklahoma City,1,105,False,0.3333333333333333,False,0.20702095019242167
AC00384,TX000132,2023-09-25 17:13:36,302.45,M059,Credit,San Antonio,1,40,False,0.5714285714285714,False,0.42784028746121
AC00203,TX000133,2023-11-20 17:10:02,208.04,M055,Debit,Louisville,1,273,False,0.3333333333333333,False,0.23240049838148275
AC00498,TX000134,2023-11-17 17:27:07,5.77,M098,Credit,Los Angeles,1,254,False,0.125,False,0.41061453639958667
AC00349,TX000135,2023-08-21 16:46:05,381.33,M034,Debit,Albuquerque,1,75,False,1.0,False,0.2427084232286954
AC00177,TX000136,2023-10-16 16:59:36,16.16,M065,Debit,Milwaukee,1,124,False,0.1111111111111111,False,0.348947012599188
AC00284,TX000137,2023-06-20 17:21:50,486.08,M060,Debit,Oklahoma City,1,68,False,0.625,False,0.13016835404316612
AC00272,TX000138,2023-01-16 16:53:38,336.39,M003,Debit,San Antonio,1,18,True,0.5,False,0.5592599810293148
AC00405,TX000139,2023-11-22 16:07:19,997.43,M067,Debit,Seattle,1,118,False,1.0,False,0.255624111343184
AC00385,TX000140,2023-09-01 16:09:08,234.57,M045,Debit,Chicago,1,120,False,0.4285714285714285,False,0.263932528680657
AC00403,TX000141,2023-10-23 18:38:15,6.0,M090,Debit,Chicago,1,246,False,0.125,False,0.3532045903734352
AC00114,TX000142,2023-10-23 16:50:33,1049.92,M052,Debit,Detroit,1,21,False,1.0,False,0.46572015480882745
AC00163,TX000143,2023-07-03 17:42:08,227.14,M057,Debit,Charlotte,1,294,False,0.5,False,0.3075673109637725
AC00108,TX000144,2023-10-24 16:41:00,233.74,M030,Credit,Oklahoma City,1,17,False,0.5,False,0.3501148378566422
AC00397,TX000145,2023-09-25 16:54:22,113.02,M019,Credit,Jacksonville,1,166,False,0.4285714285714285,False,0.4859762376012359
AC00434,TX000146,2023-02-16 17:57:10,45.85,M085,Debit,Los Angeles,1,92,False,0.5714285714285714,False,0.28845460006708556
AC00385,TX000147,2023-08-30 17:23:20,973.39,M026,Debit,Sacramento,1,296,False,0.8571428571428571,False,0.3731210892767045
AC00161,TX000148,2023-04-13 18:37:48,514.95,M056,Debit,New York,5,142,False,0.75,True,0.7260640326312445
AC00333,TX000149,2023-07-28 16:29:23,415.5,M077,Debit,Memphis,1,141,False,1.0,False,0.31456840257655655
AC00279,TX000150,2023-02-06 17:48:55,265.76,M049,Debit,Philadelphia,1,92,False,0.7777777777777778,False,0.22058744665608016
AC00072,TX000151,2023-07-24 18:08:43,69.4,M073,Debit,Virginia Beach,1,113,False,0.25,False,0.15845094266789464
AC00242,TX000152,2023-11-20 16:29:48,332.93,M039,Credit,Albuquerque,1,293,False,0.8888888888888888,False,0.5621748468683242
AC00303,TX000153,2023-10-09 16:52:47,267.9,M078,Debit,San Antonio,1,160,True,0.6666666666666666,False,0.43291669736215277
AC00442,TX000154,2023-11-03 16:45:52,496.03,M009,Debit,San Francisco,1,265,False,1.0,False,0.5965875276552357
AC00087,TX000155,2023-02-15 16:41:11,376.26,M081,Debit,Tucson,1,245,False,0.8888888888888888,False,0.259830944970541
AC00174,TX000156,2023-09-04 17:59:51,83.02,M058,Credit,Seattle,1,171,True,0.5,True,0.6321408471498351
AC00421,TX000157,2023-07-27 16:22:52,93.26,M092,Credit,New York,1,72,False,0.3333333333333333,False,0.4524738130258688
AC00111,TX000158,2023-04-17 16:08:34,803.37,M030,Credit,Memphis,1,129,False,0.8571428571428571,False,0.4260109554677838
AC00275,TX000159,2023-09-19 17:38:18,35.76,M057,Debit,Charlotte,1,122,False,0.2222222222222222,False,0.2794020818039285
AC00492,TX000160,2023-05-31 16:37:39,28.53,M035,Debit,Washington,1,99,False,0.2,False,0.18807985257124726
AC00380,TX000161,2023-10-09 17:20:09,139.53,M002,Credit,Louisville,1,177,True,0.6666666666666666,True,0.7770999018949639
AC00227,TX000162,2023-01-09 16:12:01,307.57,M049,Debit,Detroit,1,285,False,0.8,False,0.2539835518501031
AC00257,TX000163,2023-05-26 18:15:08,60.65,M085,Credit,Tucson,1,53,False,0.1818181818181818,False,0.4506837245410373
AC00062,TX000164,2023-08-14 17:43:17,74.86,M028,Debit,Nashville,1,125,False,0.3333333333333333,False,0.2199459505842095
AC00383,TX000165,2023-11-24 18:51:32,117.97,M100,Debit,Kansas City,1,137,False,0.5,False,0.1766300762005813
AC00182,TX000166,2023-01-31 18:31:22,231.91,M044,Debit,Memphis,1,165,False,0.25,False,0.2786429987404147
AC00478,TX000167,2023-02-14 16:07:01,126.21,M001,Debit,Baltimore,1,268,False,0.1428571428571428,False,0.24988424806812895
AC00332,TX000168,2023-05-02 17:03:29,506.28,M010,Credit,Chicago,2,162,False,1.0,False,0.4437424871164939
AC00202,TX000169,2023-12-04 17:07:34,304.35,M007,Debit,Houston,1,36,False,0.5833333333333334,False,0.30907958707797095
AC00331,TX000170,2023-05-16 17:26:37,281.85,M013,Debit,Detroit,1,109,False,0.7142857142857143,False,0.14435391191507
AC00474,TX000171,2023-03-20 16:58:12,777.88,M018,Debit,Houston,1,17,False,1.0,False,0.2542732066826297
AC00268,TX000172,2023-08-25 18:01:38,119.18,M093,Debit,Los Angeles,1,96,False,0.5,False,0.22069505401951117
AC00247,TX000173,2023-05-15 17:25:28,177.19,M088,Debit,Chicago,1,43,False,0.7142857142857143,False,0.2818221335419718
AC00298,TX000174,2023-05-29 16:50:10,260.88,M094,Debit,Denver,1,36,True,1.0,False,0.4154676033502393
AC00106,TX000175,2023-03-22 16:10:14,169.47,M046,Debit,Chicago,1,19,False,0.1666666666666666,False,0.23041879550183042
AC00035,TX000176,2023-05-19 16:52:53,73.23,M022,Debit,Portland,1,14,False,0.3333333333333333,False,0.4075229154323246
AC00363,TX000177,2023-02-10 18:07:07,1362.55,M001,Debit,El Paso,1,106,False,1.0,False,0.31673256260794735
AC00273,TX000178,2023-05-22 16:22:36,792.57,M059,Debit,Baltimore,1,164,False,0.75,False,0.24860839696456896
AC00156,TX000179,2023-12-18 16:47:17,237.06,M049,Debit,Phoenix,1,46,False,0.6,False,0.2804420687920337
AC00010,TX000180,2023-11-21 16:57:43,34.17,M091,Credit,Philadelphia,1,54,False,0.4285714285714285,False,0.3046558411259155
AC00036,TX000181,2023-07-19 17:03:58,740.25,M010,Debit,Philadelphia,1,123,False,1.0,False,0.18567903177073136
AC00149,TX000182,2023-04-19 16:36:03,453.54,M017,Debit,Albuquerque,1,82,False,0.8333333333333334,False,0.38695330725975763
AC00225,TX000183,2023-11-13 16:11:52,300.47,M065,Debit,Jacksonville,1,100,False,0.7272727272727273,False,0.2826656701096406
AC00077,TX000184,2023-04-07 16:38:15,110.93,M036,Credit,Virginia Beach,1,201,False,0.3333333333333333,False,0.47818628004040636
AC00440,TX000185,2023-01-03 16:46:36,201.69,M019,Debit,Las Vegas,1,299,False,1.0,False,0.41073394671261537
AC00321,TX000186,2023-01-30 16:15:49,399.21,M062,Debit,Portland,1,109,False,1.0,False,0.10714529623118882
AC00099,TX000187,2023-09-06 16:44:02,1041.88,M032,Debit,Jacksonville,1,57,False,1.0,False,0.31497157675115195
AC00258,TX000188,2023-03-02 16:11:53,630.36,M084,Debit,Mesa,1,52,False,1.0,False,0.2933066845289024
AC00132,TX000189,2023-10-23 17:24:07,10.94,M083,Credit,Philadelphia,1,245,False,0.25,False,0.3507199646192334
AC00113,TX000190,2023-01-04 16:02:09,215.9,M083,Debit,Los Angeles,1,235,False,0.5,False,0.20107900624458588
AC00396,TX000191,2023-07-10 17:49:18,1422.55,M072,Debit,Washington,1,165,False,1.0,False,0.4759363008524824
AC00099,TX000192,2023-09-18 17:07:08,226.37,M041,Credit,Louisville,1,141,False,0.25,False,0.27738474210076314
AC00265,TX000193,2023-09-11 16:27:39,444.89,M060,Credit,Las Vegas,1,101,False,0.7777777777777778,False,0.2892855552265901
AC00047,TX000194,2023-01-27 17:35:05,280.57,M017,Credit,Virginia Beach,1,24,False,0.5,False,0.4793378708598182
AC00005,TX000195,2023-07-03 17:47:49,488.54,M036,Debit,Jacksonville,1,132,False,0.8888888888888888,False,0.37140795762432727
AC00363,TX000196,2023-03-27 16:42:16,3.3,M085,Credit,Los Angeles,1,131,False,0.0833333333333333,False,0.5596577669839443
AC00426,TX000197,2023-08-21 16:16:22,199.39,M023,Debit,Colorado Springs,1,165,False,0.6666666666666666,False,0.28131340059809473
AC00107,TX000198,2023-07-24 17:02:18,20.36,M069,Debit,Tucson,1,75,False,0.2,False,0.3208585358862067
AC00237,TX000199,2023-10-24 17:09:41,113.64,M038,Debit,Detroit,1,32,False,0.4,False,0.17302746763174287
AC00358,TX000200,2023-07-31 16:25:26,493.11,M022,Debit,Colorado Springs,1,236,False,0.875,False,0.34635210731298727
AC00113,TX000201,2023-06-12 17:32:52,307.41,M007,Debit,Los Angeles,1,14,False,0.75,False,0.3560431189892823
AC00010,TX000202,2023-11-30 16:52:42,11.18,M017,Debit,Atlanta,1,161,False,0.2857142857142857,False,0.37041176611806664
AC00499,TX000203,2023-11-15 18:57:38,313.82,M097,Debit,Tucson,1,151,False,0.5714285714285714,False,0.087651305039051
AC00380,TX000204,2023-01-30 16:00:38,51.0,M063,Debit,Seattle,1,107,False,0.3333333333333333,False,0.2145755056438223
AC00452,TX000205,2023-05-25 16:34:22,140.98,M059,Debit,Memphis,1,100,False,0.7142857142857143,False,0.22414496568403577
AC00020,TX000206,2023-08-24 16:47:21,288.04,M092,Debit,Denver,1,63,False,0.3333333333333333,False,0.25520261590131715
AC00181,TX000207,2023-05-04 16:21:31,800.55,M062,Debit,Oklahoma City,1,108,False,1.0,False,0.21395348052294558
AC00370,TX000208,2023-02-06 17:46:59,485.54,M061,Debit,Houston,1,143,False,0.8571428571428571,False,0.2779975013269892
AC00453,TX000209,2023-02-17 18:16:05,521.15,M084,Debit,Kansas City,1,214,False,1.0,False,0.284126177262274
AC00339,TX000210,2023-08-07 17:30:33,321.79,M056,Credit,Raleigh,1,61,False,0.6666666666666666,True,0.6631287335126183
AC00249,TX000211,2023-02-24 16:23:22,304.93,M098,Debit,Portland,1,158,False,1.0,False,0.13157230044809945
AC00479,TX000212,2023-07-31 16:04:55,432.08,M044,Debit,El Paso,1,145,False,0.75,False,0.23205237349426922
AC00301,TX000213,2023-12-07 16:20:08,694.2,M035,Debit,Milwaukee,1,72,False,0.8333333333333334,False,0.19316721553532207
AC00380,TX000214,2023-03-20 18:28:48,116.86,M088,Debit,Louisville,1,171,False,0.5,False,0.28261777322536613
AC00130,TX000215,2023-03-03 18:02:52,386.81,M039,Credit,Detroit,1,149,False,0.7777777777777778,False,0.4189869473931521
AC00006,TX000216,2023-05-24 16:25:50,74.88,M026,Debit,Atlanta,1,202,False,0.25,False,0.25147602727571494
AC00096,TX000217,2023-05-22 16:17:19,195.76,M056,Debit,Philadelphia,1,99,False,0.6666666666666666,False,0.31904796127149726
AC00108,TX000218,2023-08-21 16:03:18,134.7,M074,Debit,Fort Worth,1,106,False,0.1666666666666666,False,0.2830217983564957
AC00070,TX000219,2023-07-07 18:03:43,890.24,M029,Credit,Las Vegas,1,161,False,1.0,False,0.4750024264890766
